Liberty Energy PE Ratio Historical Data,Liberty Energy PE Ratio Historical Data,Liberty Energy PE Ratio Historical Data,Liberty Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.3,,11.02
2024-09-30,19.09,$1.66,11.5
2024-06-30,20.81,$2.51,8.29
2024-03-31,20.64,$2.74,7.53
2023-12-31,18.01,$3.16,5.7
2023-09-30,18.32,$3.44,5.33
2023-06-30,13.19,$3.37,3.91
2023-03-31,12.59,$3.05,4.13
2022-12-31,15.69,$1.84,8.53
2022-09-30,12.38,$0.80,15.48
2022-06-30,12.46,$-0.27,0.0
2021-12-31,9.47,$-1.03,0.0
2021-09-30,11.85,$-1.13,0.0
2021-06-30,13.83,$-0.94,0.0
2021-03-31,11.03,$-1.06,0.0
2020-12-31,10.07,$-1.40,0.0
2022-03-31,14.47,$-0.97,0.0
2020-09-30,7.8,$-1.09,0.0
2020-06-30,5.35,$-0.53,0.0
2020-03-31,2.63,$0.34,7.73
2019-12-31,10.76,$0.58,18.56
2019-09-30,10.42,$1.00,10.42
2019-06-30,15.49,$1.34,11.56
2019-03-31,14.68,$1.73,8.49
2018-12-31,12.35,$1.81,6.83
