Black Stone Minerals PE Ratio Historical Data,Black Stone Minerals PE Ratio Historical Data,Black Stone Minerals PE Ratio Historical Data,Black Stone Minerals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,15.09,,10.2
2024-06-30,15.27,$1.48,10.32
2024-03-31,15.22,$1.54,9.88
2023-12-31,14.74,$1.87,7.88
2023-09-30,15.49,$2.04,7.59
2023-06-30,13.95,$2.52,5.53
2023-03-31,13.3,$2.76,4.82
2022-12-31,13.89,$2.10,6.61
2022-09-30,12.57,$1.88,6.68
2022-06-30,10.69,$1.18,9.06
2022-03-31,10.23,$0.64,15.99
2021-12-31,7.68,$0.75,10.23
2021-09-30,8.77,$0.27,32.46
2021-06-30,7.64,$0.31,24.64
2021-03-31,6.09,$0.19,32.04
2020-12-31,4.58,$0.31,14.78
2020-09-30,4.12,$0.51,8.08
2020-06-30,4.27,$0.86,4.97
2019-12-31,8.01,$0.95,8.43
2019-09-30,8.72,$1.50,5.81
2019-06-30,9.49,$1.45,6.54
2019-03-31,10.57,$1.18,8.96
2018-12-31,9.09,$1.39,6.54
2018-09-30,10.46,$0.82,12.75
2018-06-30,10.43,$0.71,14.69
2018-03-31,9.18,$0.86,10.67
2017-12-31,9.78,$0.99,9.88
2017-09-30,9.28,$0.85,10.92
2017-06-30,8.28,$0.83,9.97
2017-03-31,8.52,$0.43,19.82
2016-12-31,9.54,$0.41,23.27
2016-09-30,8.91,$0.49,18.17
2016-06-30,7.61,$0.08,95.14
2020-03-31,3.04,$0.43,7.06
2016-03-31,6.77,$-0.47,0.0
