Blue Owl Capital PE Ratio Historical Data,Blue Owl Capital PE Ratio Historical Data,Blue Owl Capital PE Ratio Historical Data,Blue Owl Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,15.13,,8.45
2024-06-30,15.36,$1.79,8.58
2024-03-31,15.38,$1.98,7.77
2023-12-31,14.76,$2.03,7.27
2023-09-30,13.85,$2.04,6.79
2023-06-30,13.42,$2.18,6.16
2023-03-31,12.61,$1.59,7.93
2022-12-31,11.55,$1.18,9.79
2022-09-30,10.37,$1.13,9.18
2022-06-30,11.97,$0.82,14.6
2022-03-31,14.0,$1.29,10.85
2021-12-31,13.14,$1.58,8.31
2021-09-30,12.82,$1.60,8.01
2021-06-30,12.67,$1.80,7.04
2021-03-31,11.97,$2.21,5.42
2020-12-31,10.77,$1.02,10.55
2020-09-30,9.94,$0.92,10.81
2020-06-30,9.85,$0.67,14.69
