Microsoft PE Ratio Historical Data,Microsoft PE Ratio Historical Data,Microsoft PE Ratio Historical Data,Microsoft PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,417.14,,35.32
2024-06-30,446.16,$11.81,37.78
2024-03-31,419.23,$11.55,36.3
2023-12-31,374.02,$11.06,33.82
2023-09-30,313.42,$10.33,30.34
2023-06-30,337.31,$9.69,34.81
2023-03-31,284.95,$9.23,30.87
2022-12-31,236.44,$9.00,26.27
2022-09-30,228.97,$9.28,24.67
2022-06-30,251.96,$9.10,27.69
2022-03-31,301.73,$8.90,33.9
2021-12-31,328.46,$8.71,37.71
2021-06-30,263.58,$8.05,32.74
2021-03-31,228.87,$7.34,31.18
2020-12-31,215.42,$8.02,26.86
2020-09-30,203.17,$7.39,27.49
2020-06-30,196.1,$7.08,27.7
2021-09-30,274.83,$7.00,39.26
2020-03-31,151.55,$6.00,25.26
2019-12-31,151.13,$5.74,26.33
2019-09-30,132.79,$5.31,25.01
2019-06-30,127.95,$5.07,25.24
2019-03-31,112.23,$4.50,24.94
2018-12-31,96.24,$4.31,22.33
2018-09-30,107.9,$2.41,44.77
2018-06-30,92.67,$2.11,43.92
2018-03-31,85.4,$1.80,47.45
2017-12-31,79.67,$1.46,54.57
2017-09-30,69.03,$2.94,23.48
2017-06-30,63.54,$2.70,23.53
2017-03-31,60.37,$2.26,26.71
2016-12-31,56.62,$2.12,26.71
2016-09-30,52.14,$2.08,25.07
2016-06-30,46.03,$2.05,22.45
2016-03-31,49.33,$1.26,39.15
2015-12-31,49.21,$1.40,35.15
2015-09-30,38.94,$1.49,26.13
2015-06-30,38.64,$1.46,26.47
2015-03-31,35.35,$2.41,14.67
2014-12-31,40.1,$2.48,16.17
2014-09-30,39.77,$2.55,15.6
2014-06-30,35.56,$2.63,13.52
2014-03-31,34.71,$2.67,13.0
2013-12-31,31.44,$2.71,11.6
2013-09-30,27.76,$2.69,10.32
2013-06-30,28.61,$2.60,11.0
2013-03-31,23.53,$1.95,12.07
2012-12-31,21.79,$1.83,11.91
2012-09-30,24.08,$1.85,13.01
2012-06-30,24.58,$2.00,12.29
2012-03-31,25.75,$2.75,9.36
2011-12-31,20.59,$2.76,7.46
2011-09-30,19.6,$2.75,7.13
2011-06-30,20.34,$2.69,7.56
2011-03-31,19.73,$2.51,7.86
2010-12-31,21.57,$2.35,9.18
2010-09-30,18.81,$2.32,8.11
2010-06-30,17.58,$2.10,8.37
2010-03-31,22.27,$1.93,11.54
2009-12-31,23.07,$1.81,12.75
