Landstar System PE Ratio Historical Data,Landstar System PE Ratio Historical Data,Landstar System PE Ratio Historical Data,Landstar System PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,187.03,,30.51
2024-06-30,184.12,$6.13,30.04
2024-03-31,192.04,$6.50,29.54
2023-12-31,190.58,$7.35,25.93
2023-09-30,173.8,$8.33,20.86
2023-06-30,188.81,$9.38,20.13
2023-03-31,175.49,$10.58,16.59
2022-12-31,157.28,$11.75,13.39
2022-09-30,139.13,$12.14,11.46
2022-06-30,139.87,$11.96,11.69
2022-03-31,144.85,$11.31,12.81
2021-12-31,169.64,$9.98,17.0
2021-09-30,149.34,$8.69,17.19
2021-06-30,149.29,$7.72,19.34
2021-03-31,155.76,$5.95,26.18
2020-12-31,125.16,$4.98,25.13
2020-09-30,116.44,$4.55,25.59
2020-06-30,104.04,$4.29,24.25
2020-03-31,88.64,$5.19,17.08
2019-12-31,103.3,$5.73,18.03
2019-09-30,101.96,$6.14,16.61
2019-06-30,97.64,$6.42,15.21
2019-03-31,98.91,$6.40,15.45
2018-12-31,86.37,$6.19,13.95
2018-09-30,109.97,$6.05,18.18
2018-06-30,98.29,$5.43,18.1
2018-03-31,98.56,$4.81,20.49
2017-12-31,92.16,$4.21,21.89
2017-09-30,88.13,$3.61,24.41
2017-06-30,75.61,$3.46,21.85
2017-03-31,75.58,$3.33,22.7
2016-12-31,75.19,$3.25,23.14
2016-09-30,59.94,$3.19,18.79
2016-06-30,60.37,$3.23,18.69
2016-03-31,56.74,$3.39,16.74
2015-12-31,51.44,$3.37,15.26
2015-09-30,55.59,$3.35,16.59
2015-06-30,58.51,$3.27,17.89
2015-03-31,57.94,$3.15,18.39
2014-12-31,62.42,$3.78,16.51
2014-09-30,62.07,$3.56,17.44
2014-06-30,54.97,$3.40,16.17
2013-12-31,49.25,$3.17,15.53
2013-09-30,47.69,$2.60,18.34
2013-06-30,43.88,$2.57,17.07
2013-03-31,48.64,$2.62,18.56
2012-12-31,44.69,$2.81,15.91
2014-03-31,50.81,$2.65,19.18
2012-09-30,39.82,$2.74,14.53
2012-06-30,43.51,$2.67,16.3
2012-03-31,48.51,$2.53,19.17
2011-12-31,40.23,$2.39,16.83
2011-09-30,33.17,$2.19,15.15
2011-06-30,38.92,$1.99,19.56
2011-03-31,38.21,$1.86,20.54
2010-12-31,34.21,$1.77,19.32
2010-09-30,32.22,$1.64,19.65
2010-06-30,32.49,$1.59,20.44
2010-03-31,34.95,$1.45,24.1
2009-12-31,32.24,$1.38,23.36
