Sunoco LP PE Ratio Historical Data,Sunoco LP PE Ratio Historical Data,Sunoco LP PE Ratio Historical Data,Sunoco LP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,51.87,,6.86
2024-06-30,55.58,$7.56,7.35
2024-03-31,58.34,$4.49,12.99
2023-12-31,57.19,$3.64,15.71
2023-09-30,45.92,$5.56,8.26
2023-06-30,40.12,$3.36,11.94
2023-03-31,39.66,$3.78,10.49
2022-12-31,38.28,$4.69,8.16
2022-09-30,33.95,$5.22,6.5
2022-06-30,31.8,$5.47,5.81
2022-03-31,34.2,$6.00,5.7
2021-12-31,33.57,$5.28,6.36
2021-09-30,30.06,$5.10,5.89
2021-06-30,29.71,$5.06,5.87
2021-03-31,24.52,$4.97,4.93
2020-12-31,21.62,$1.59,13.59
2020-09-30,17.75,$1.57,11.31
2020-06-30,16.11,$1.18,13.65
2020-03-31,10.66,$-0.03,0.0
2019-12-31,20.33,$2.82,7.21
2019-09-30,20.38,$0.96,21.23
2019-06-30,19.76,$1.51,13.08
2019-03-31,19.16,$1.66,11.54
2018-12-31,16.27,$-3.15,0.0
2018-09-30,17.15,$-2.04,0.0
2018-06-30,14.05,$-2.08,0.0
2018-03-31,13.94,$-5.19,0.0
2017-12-31,15.1,$-1.67,0.0
2017-09-30,16.1,$-7.99,0.0
2017-06-30,15.43,$-8.83,0.0
2017-03-31,11.86,$-5.77,0.0
2016-12-31,12.83,$-5.08,0.0
2016-09-30,13.42,$1.11,12.09
2016-06-30,13.5,$1.17,11.54
2016-03-31,14.58,$1.51,9.66
2015-12-31,16.98,$1.48,11.48
2015-09-30,14.19,$2.44,5.82
2015-06-30,18.68,$2.18,8.57
2015-03-31,20.89,$1.74,12.01
2014-12-31,20.01,$1.76,11.37
2014-09-30,21.85,$1.36,16.07
2014-06-30,18.48,$1.75,10.56
2014-03-31,13.68,$1.76,7.77
2013-12-31,12.71,$1.68,7.56
2013-09-30,11.4,$1.64,6.95
2013-06-30,10.93,$1.24,8.81
