State Street PE Ratio Historical Data,State Street PE Ratio Historical Data,State Street PE Ratio Historical Data,State Street PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,87.1,,16.37
2024-06-30,73.31,$5.32,13.78
2024-03-31,76.6,$5.34,14.34
2023-12-31,76.06,$5.49,13.85
2023-09-30,65.17,$6.85,9.51
2023-06-30,70.5,$7.40,9.53
2023-03-31,72.29,$7.14,10.13
2022-12-31,73.48,$7.19,10.22
2022-09-30,57.14,$7.06,8.09
2022-06-30,57.33,$7.22,7.94
2022-03-31,80.28,$7.38,10.88
2021-12-31,85.14,$7.18,11.86
2021-09-30,77.09,$6.79,11.35
2021-06-30,74.37,$6.28,11.84
2021-03-31,75.45,$6.07,12.43
2020-12-31,64.96,$6.32,10.28
2020-09-30,52.58,$6.66,7.9
2020-06-30,55.83,$6.63,8.42
2020-03-31,46.42,$6.19,7.5
2019-12-31,68.26,$5.75,11.87
2019-09-30,50.75,$5.06,10.03
2019-06-30,47.65,$5.51,8.65
2019-03-31,55.47,$5.97,9.29
2018-12-31,52.78,$6.41,8.23
2018-09-30,70.11,$6.26,11.2
2018-06-30,77.47,$6.05,12.8
2018-03-31,82.62,$5.70,14.5
2017-12-31,80.53,$5.23,15.4
2017-09-30,78.48,$5.77,13.6
2017-06-30,73.39,$5.40,13.59
2017-03-31,64.84,$5.34,12.14
2016-12-31,63.0,$4.98,12.65
2016-09-30,56.16,$4.89,11.49
2016-06-30,43.25,$4.92,8.79
2016-03-31,46.64,$4.39,10.62
2015-12-31,52.58,$4.50,11.68
2015-09-30,52.98,$4.40,12.04
2015-06-30,60.39,$4.34,13.92
2015-03-31,57.42,$4.78,12.01
2014-12-31,61.05,$4.69,13.02
2014-09-30,57.03,$4.67,12.21
2014-06-30,51.9,$4.58,11.33
2014-03-31,53.43,$4.44,12.03
2013-12-31,56.16,$4.61,12.18
2013-09-30,50.14,$4.39,11.42
2013-06-30,49.53,$4.58,10.81
2013-03-31,44.71,$4.32,10.35
2012-12-31,35.41,$4.19,8.45
2012-09-30,31.44,$3.95,7.96
2012-06-30,33.26,$3.69,9.01
2012-03-31,33.72,$3.71,9.09
2011-12-31,29.71,$3.79,7.84
2011-09-30,23.6,$3.19,7.4
2011-06-30,32.91,$3.17,10.38
2011-03-31,32.67,$3.16,10.34
2010-12-31,33.55,$3.23,10.39
2010-09-30,27.26,$3.73,7.31
2010-03-31,32.66,$-4.46,0.0
2009-12-31,31.49,$-4.43,0.0
2009-09-30,38.04,$-4.56,0.0
