FirstEnergy PE Ratio Historical Data,FirstEnergy PE Ratio Historical Data,FirstEnergy PE Ratio Historical Data,FirstEnergy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,43.92,,31.15
2024-06-30,37.89,$1.41,26.87
2024-03-31,37.82,$1.74,21.74
2023-12-31,35.49,$1.81,19.61
2023-09-30,32.72,$0.80,40.9
2023-06-30,36.82,$0.79,46.61
2023-03-31,37.56,$0.71,52.91
2022-12-31,38.94,$0.71,54.85
2022-09-30,34.01,$2.19,15.53
2022-06-30,34.93,$2.46,14.2
2022-03-31,41.35,$2.24,18.46
2021-12-31,37.15,$2.35,15.81
2021-09-30,31.5,$2.03,15.52
2021-06-30,32.57,$2.02,16.13
2021-03-31,30.05,$2.48,12.12
2020-12-31,26.2,$2.00,13.1
2020-09-30,24.25,$1.35,17.97
2020-06-30,32.33,$1.24,26.07
2020-03-31,33.08,$1.25,26.47
2019-12-31,39.82,$1.70,23.42
2019-09-30,39.2,$2.15,18.23
2019-06-30,34.5,$0.40,86.24
2019-03-31,33.23,$0.10,332.27
2018-12-31,29.69,$2.05,14.48
2018-09-30,29.11,$-3.82,0.0
2018-06-30,27.85,$-1.91,0.0
2018-03-31,26.1,$-1.80,0.0
2017-12-31,23.23,$-3.88,0.0
2017-09-30,23.13,$-11.70,0.0
2017-06-30,21.64,$-11.70,0.0
2017-03-31,23.32,$-14.65,0.0
2016-12-31,22.43,$-14.34,0.0
2016-09-30,23.7,$-1.43,0.0
2016-06-30,24.74,$-1.39,0.0
2016-03-31,25.22,$1.61,15.67
2015-12-31,22.01,$1.37,16.07
2015-09-30,21.47,$1.17,18.35
2015-06-30,22.09,$1.03,21.44
2015-03-31,23.55,$0.74,31.82
2014-12-31,25.96,$0.70,37.08
2014-09-30,22.13,$1.77,12.5
2014-06-30,22.64,$1.50,15.09
2014-03-31,21.95,$0.96,22.86
2013-12-31,21.02,$0.94,22.36
2013-09-30,22.89,$0.25,91.58
2013-06-30,23.11,$0.74,31.23
2013-03-31,25.8,$1.58,16.33
2012-12-31,25.18,$1.84,13.69
2012-09-30,26.26,$2.42,10.85
2012-06-30,28.96,$2.63,11.01
2012-03-31,26.53,$2.61,10.17
2011-12-31,25.46,$2.03,12.54
2011-09-30,25.5,$2.41,10.58
2011-06-30,24.76,$1.78,13.91
2011-03-31,20.53,$2.22,9.25
2010-12-31,20.2,$2.58,7.83
2010-09-30,20.71,$2.75,7.53
2010-06-30,18.66,$2.93,6.37
2010-03-31,20.39,$3.42,5.96
2009-12-31,23.93,$3.30,7.25
