Edgewise Therapeutics PE Ratio Historical Data,Edgewise Therapeutics PE Ratio Historical Data,Edgewise Therapeutics PE Ratio Historical Data,Edgewise Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,35.51,,0.0
2024-06-30,18.01,$-1.55,0.0
2024-03-31,18.24,$-1.55,0.0
2023-12-31,10.94,$-1.58,0.0
2023-09-30,5.73,$-1.42,0.0
2023-06-30,7.75,$-1.35,0.0
2023-03-31,6.67,$-1.33,0.0
2022-12-31,8.94,$-1.27,0.0
2022-09-30,9.84,$-1.22,0.0
2022-06-30,7.96,$-1.14,0.0
2022-03-31,9.7,$-1.03,0.0
2021-12-31,15.28,$-5.10,0.0
