Enovis PE Ratio Historical Data,Enovis PE Ratio Historical Data,Enovis PE Ratio Historical Data,Enovis PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,41.06,,0.0
2024-06-30,45.2,$-1.66,0.0
2024-03-31,62.45,$-1.50,0.0
2023-12-31,56.02,$-0.89,0.0
2023-09-30,52.73,$-2.17,0.0
2023-06-30,64.12,$-0.71,0.0
2022-12-31,53.52,$-0.20,0.0
2022-09-30,46.07,$0.48,95.98
2022-06-30,55.0,$1.28,42.97
2022-03-31,68.49,$0.35,195.62
2021-12-31,79.12,$0.56,141.24
2023-03-31,53.49,$0.98,54.57
2021-09-30,79.0,$2.13,37.08
2021-06-30,78.85,$1.95,40.43
2021-03-31,75.4,$1.23,61.3
2020-12-31,65.82,$0.93,70.76
2020-09-30,53.98,$-0.15,0.0
2020-06-30,48.02,$-0.21,0.0
2020-03-31,34.08,$-10.38,0.0
2019-12-31,62.62,$-11.64,0.0
2019-09-30,50.02,$-10.11,0.0
2019-06-30,48.24,$-9.57,0.0
2019-03-31,51.08,$1.71,29.87
2018-12-31,35.97,$3.48,10.34
2018-09-30,62.07,$2.61,23.78
2018-06-30,52.75,$2.94,17.94
2018-03-31,54.91,$3.30,16.64
2017-12-31,68.19,$3.63,18.78
2017-09-30,71.67,$4.26,16.82
2017-06-30,67.76,$3.84,17.64
2017-03-31,67.57,$3.51,19.25
2016-12-31,61.84,$3.12,19.82
2016-09-30,54.1,$3.27,16.54
2016-06-30,45.54,$3.03,15.03
2016-03-31,49.21,$3.33,14.78
2015-12-31,40.19,$4.05,9.92
2015-09-30,51.48,$4.89,10.53
2015-06-30,79.43,$6.21,12.79
2015-03-31,82.15,$9.54,8.61
2014-12-31,88.76,$8.94,9.93
2014-09-30,98.06,$7.95,12.33
2014-06-30,128.3,$7.62,16.83
2014-03-31,122.77,$4.59,26.74
2013-12-31,109.62,$4.56,24.04
2013-09-30,97.23,$4.02,24.18
2013-06-30,89.69,$2.70,33.21
2013-03-31,80.1,$1.35,59.33
2012-12-31,69.45,$-3.27,0.0
2012-09-30,63.12,$-4.77,0.0
2012-06-30,47.45,$-4.65,0.0
2012-03-31,60.65,$-4.17,0.0
2011-12-31,49.02,$0.27,181.48
2011-09-30,34.87,$1.98,17.61
2011-06-30,42.69,$2.13,20.04
2011-03-31,39.5,$1.59,24.84
2010-12-31,31.69,$1.08,29.34
2010-09-30,25.59,$0.84,30.47
2010-06-30,17.92,$0.57,31.43
2010-03-31,20.26,$0.72,28.14
2009-12-31,20.72,$1.26,16.45
