World Kinect PE Ratio Historical Data,World Kinect PE Ratio Historical Data,World Kinect PE Ratio Historical Data,World Kinect PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,30.66,,13.57
2024-06-30,25.66,$2.26,11.35
2024-03-31,26.13,$0.93,28.1
2023-12-31,22.36,$0.84,26.62
2023-09-30,21.88,$1.75,12.5
2023-06-30,20.05,$1.85,10.84
2023-03-31,24.48,$1.76,13.91
2022-12-31,26.18,$1.81,14.47
2022-09-30,22.34,$1.73,12.91
2022-06-30,19.39,$1.39,13.95
2022-03-31,25.51,$1.28,19.93
2021-12-31,24.86,$1.17,21.25
2021-09-30,31.43,$0.86,36.54
2021-06-30,29.55,$1.81,16.33
2021-03-31,32.66,$1.37,23.84
2020-12-31,28.82,$1.70,16.95
2020-09-30,19.53,$2.62,7.46
2020-06-30,23.64,$2.06,11.47
2020-03-31,23.02,$2.77,8.31
2019-12-31,39.54,$2.78,14.22
2019-09-30,36.29,$2.36,15.38
2019-06-30,32.59,$2.19,14.88
2019-03-31,26.1,$2.06,12.67
2018-12-31,19.31,$-1.44,0.0
2018-09-30,24.9,$-2.45,0.0
2018-06-30,18.32,$-2.57,0.0
2017-12-31,25.12,$-2.54,0.0
2017-09-30,30.16,$0.35,86.16
2017-06-30,34.19,$1.53,22.35
2017-03-31,32.18,$1.52,21.17
2016-12-31,40.69,$1.82,22.36
2016-09-30,40.95,$2.53,16.19
2016-06-30,41.98,$2.63,15.96
2016-03-31,42.89,$2.62,16.37
2015-12-31,33.91,$2.81,12.07
2015-09-30,31.52,$2.85,11.06
2015-06-30,42.15,$2.82,14.95
2014-12-31,41.16,$3.11,13.23
2014-09-30,34.98,$2.90,12.06
2014-06-30,43.11,$2.90,14.86
2014-03-31,38.58,$2.94,13.12
2013-12-31,37.73,$2.94,12.83
2015-03-31,50.47,$2.89,17.46
2013-09-30,32.58,$2.71,12.02
2013-06-30,34.88,$2.71,12.87
2013-03-31,34.62,$2.68,12.92
2012-12-31,35.84,$2.65,13.53
2012-09-30,30.97,$2.75,11.26
2012-06-30,33.04,$2.77,11.93
2012-03-31,35.59,$2.79,12.75
2011-12-31,36.4,$2.72,13.38
2011-09-30,28.28,$2.58,10.96
2011-06-30,31.09,$2.44,12.74
2011-03-31,35.1,$2.35,14.94
2010-12-31,31.22,$2.33,13.4
2010-09-30,22.43,$2.34,9.58
2010-06-30,22.33,$2.23,10.04
2010-03-31,22.9,$2.08,11.01
2009-12-31,23.0,$1.96,11.76
2009-09-30,20.6,$1.85,11.16
