OSI Systems PE Ratio Historical Data,OSI Systems PE Ratio Historical Data,OSI Systems PE Ratio Historical Data,OSI Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,148.77,,20.21
2024-06-30,137.52,$7.36,18.68
2024-03-31,142.82,$7.27,19.65
2023-12-31,129.05,$6.59,19.58
2023-09-30,118.04,$5.44,21.7
2023-06-30,117.83,$5.34,22.07
2023-03-31,102.36,$4.82,21.24
2022-12-31,79.52,$5.96,13.34
2022-09-30,72.06,$6.09,11.83
2022-06-30,85.44,$6.48,13.19
2022-03-31,85.12,$5.94,14.33
2021-12-31,93.2,$4.56,20.44
2021-09-30,94.8,$4.57,20.74
2021-06-30,101.64,$4.04,25.16
2021-03-31,96.1,$3.40,28.26
2020-12-31,93.22,$3.43,27.18
2020-09-30,77.61,$3.45,22.5
2020-06-30,74.64,$4.04,18.48
2020-03-31,68.92,$4.17,16.53
2019-12-31,100.74,$4.16,24.22
2019-09-30,101.56,$4.07,24.95
2019-06-30,112.63,$3.47,32.46
2019-03-31,87.6,$2.85,30.74
2018-12-31,73.3,$1.93,37.98
2018-09-30,76.31,$-1.57,0.0
2018-06-30,77.33,$-1.55,0.0
2018-03-31,65.27,$-1.74,0.0
2017-12-31,64.38,$-1.15,0.0
2017-09-30,91.37,$1.57,58.2
2017-06-30,75.15,$1.08,69.58
2017-03-31,72.99,$1.30,56.15
2016-12-31,76.12,$1.05,72.5
2016-09-30,65.38,$0.81,80.72
2016-06-30,58.13,$1.31,44.37
2016-03-31,65.49,$2.10,31.19
2015-12-31,88.66,$2.27,39.06
2015-09-30,76.96,$3.15,24.43
2015-06-30,70.79,$3.17,22.33
2015-03-31,74.26,$3.15,23.57
2014-12-31,70.77,$2.74,25.83
2014-09-30,63.48,$2.56,24.8
2014-06-30,66.75,$2.32,28.77
2014-03-31,59.86,$1.83,32.71
2013-12-31,53.11,$2.26,23.5
2013-09-30,74.38,$2.15,34.6
2013-06-30,64.42,$2.15,29.96
2013-03-31,62.29,$2.35,26.51
2012-12-31,64.04,$2.31,27.72
2012-09-30,77.84,$2.32,33.55
2012-06-30,63.34,$2.25,28.15
2012-03-31,61.3,$2.08,29.47
2011-12-31,48.78,$1.91,25.54
2011-09-30,33.52,$1.77,18.94
2011-06-30,43.0,$1.71,25.15
2011-03-31,37.53,$1.52,24.69
2010-12-31,36.36,$1.40,25.97
2010-09-30,36.32,$1.07,33.94
2010-06-30,27.77,$1.13,24.58
2010-03-31,28.08,$0.86,32.65
2009-09-30,18.29,$0.92,19.88
