Apellis Pharmaceuticals PE Ratio Historical Data,Apellis Pharmaceuticals PE Ratio Historical Data,Apellis Pharmaceuticals PE Ratio Historical Data,Apellis Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,27.92,,0.0
2024-06-30,38.36,$-2.74,0.0
2024-03-31,58.78,$-3.46,0.0
2023-12-31,59.86,$-4.48,0.0
2023-09-30,38.04,$-5.25,0.0
2023-06-30,91.1,$-5.83,0.0
2023-03-31,65.96,$-6.27,0.0
2022-12-31,51.71,$-6.13,0.0
2022-09-30,68.3,$-6.24,0.0
2022-06-30,45.22,$-6.77,0.0
2022-03-31,50.81,$-8.03,0.0
2021-12-31,47.28,$-8.93,0.0
2021-09-30,32.96,$-6.39,0.0
2021-06-30,63.2,$-5.90,0.0
2021-03-31,42.91,$-4.75,0.0
2020-12-31,57.2,$-4.72,0.0
2020-09-30,30.17,$-7.42,0.0
2020-06-30,32.66,$-6.73,0.0
2020-03-31,26.79,$-6.28,0.0
2019-12-31,30.62,$-4.86,0.0
2019-09-30,24.09,$-3.74,0.0
2019-06-30,25.34,$-3.28,0.0
2019-03-31,19.5,$-2.77,0.0
2018-12-31,13.19,$-2.33,0.0
2018-09-30,17.78,$-2.29,0.0
