Lennar PE Ratio Historical Data,Lennar PE Ratio Historical Data,Lennar PE Ratio Historical Data,Lennar PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,182.06,,12.38
2024-05-31,159.79,$14.71,10.86
2024-02-29,157.45,$14.27,11.03
2023-11-30,126.64,$13.76,9.2
2023-08-31,117.51,$13.49,8.71
2023-05-31,105.37,$14.65,7.19
2023-02-28,94.84,$16.13,5.88
2022-11-30,85.78,$15.76,5.44
2022-08-31,75.28,$15.12,4.98
2022-05-31,77.62,$14.61,5.31
2022-02-28,86.52,$12.77,6.78
2021-11-30,100.72,$14.28,7.05
2021-08-31,102.62,$13.19,7.78
2021-05-31,94.45,$10.79,8.75
2021-02-28,78.95,$9.79,8.06
2020-11-30,71.97,$7.86,9.16
2020-08-31,70.78,$7.17,9.87
2020-05-31,57.08,$6.64,8.6
2020-02-29,56.79,$6.29,9.03
2019-11-30,56.04,$5.76,9.73
2019-08-31,47.88,$6.05,7.91
2019-05-31,46.58,$5.83,7.99
2019-02-28,44.97,$5.47,8.22
2018-11-30,40.02,$6.02,6.65
2018-08-31,48.34,$4.66,10.37
2018-05-31,48.37,$4.20,11.52
2017-11-30,58.61,$3.42,17.14
2017-08-31,48.29,$3.47,13.92
2017-05-31,47.84,$2.94,16.27
2017-02-28,45.45,$3.04,14.95
2016-11-30,39.59,$3.83,10.34
2018-02-28,52.86,$3.12,16.94
2016-08-31,43.98,$3.80,11.57
2016-05-31,42.34,$3.75,11.29
2016-02-29,38.93,$3.59,10.84
2015-11-30,47.49,$3.46,13.73
2015-08-31,47.17,$3.32,14.21
2015-05-31,43.18,$3.14,13.75
2015-02-28,46.46,$2.96,15.69
2014-11-30,43.67,$2.81,15.54
2014-08-31,36.18,$2.47,14.65
2014-05-31,37.73,$2.23,16.92
2014-02-28,40.44,$2.23,18.13
2013-11-30,32.92,$2.14,15.38
2013-08-31,29.25,$1.97,14.85
2013-05-31,36.11,$1.83,19.73
2013-02-28,35.41,$3.28,10.79
2012-11-30,34.87,$3.10,11.25
2012-08-31,29.69,$2.70,11.0
2012-05-31,24.95,$2.41,10.35
2012-02-29,21.34,$0.42,50.82
2011-11-30,16.78,$0.48,34.95
2011-08-31,13.36,$0.49,27.27
2011-05-31,17.21,$0.54,31.88
2011-02-28,18.24,$0.68,26.83
2010-11-30,13.72,$0.50,27.44
2010-08-31,11.85,$0.52,22.78
2010-05-31,15.54,$-0.61,0.0
2010-02-28,14.71,$-1.58,0.0
2009-11-30,11.33,$-2.52,0.0
