Ingles Markets PE Ratio Historical Data,Ingles Markets PE Ratio Historical Data,Ingles Markets PE Ratio Historical Data,Ingles Markets PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,64.24,,7.65
2024-06-30,68.27,$8.40,8.13
2024-03-31,76.13,$9.27,8.21
2023-12-31,85.59,$9.72,8.81
2023-09-30,74.49,$11.09,6.72
2023-06-30,81.57,$12.01,6.79
2023-03-31,87.38,$13.04,6.7
2022-12-31,94.86,$14.52,6.53
2022-09-30,77.74,$14.35,5.42
2022-06-30,84.97,$14.44,5.88
2022-03-31,87.07,$14.66,5.94
2021-12-31,84.26,$13.63,6.18
2021-09-30,64.28,$12.81,5.02
2021-06-30,56.56,$11.89,4.76
2021-03-31,59.69,$11.20,5.33
2020-12-31,41.14,$10.61,3.88
2020-09-30,36.53,$8.82,4.14
2020-06-30,41.19,$7.00,5.88
2020-03-31,34.44,$5.06,6.81
2019-12-31,45.09,$3.81,11.83
2019-09-30,36.72,$4.03,9.11
2019-06-30,29.27,$3.90,7.5
2019-03-31,25.81,$3.95,6.53
2018-12-31,25.29,$3.67,6.89
2018-09-30,31.66,$4.81,6.58
2018-06-30,29.24,$4.86,6.02
2018-03-31,30.97,$4.22,7.34
2017-12-31,31.51,$4.21,7.48
2017-09-30,23.25,$2.66,8.74
2017-06-30,29.98,$2.40,12.49
2017-03-31,38.7,$2.46,15.73
2016-12-31,42.99,$2.72,15.81
2016-09-30,35.19,$2.68,13.13
2016-06-30,33.06,$2.78,11.89
2016-03-31,33.08,$2.83,11.69
2015-12-31,38.73,$2.83,13.68
2015-09-30,41.87,$2.93,14.29
2015-06-30,41.68,$2.92,14.27
2015-03-31,43.03,$2.85,15.1
2014-12-31,32.12,$2.60,12.36
2014-09-30,20.38,$2.28,8.94
2014-06-30,22.52,$2.17,10.38
2014-03-31,20.22,$0.94,21.51
2013-12-31,22.86,$0.81,28.23
2013-09-30,24.09,$0.87,27.69
2013-06-30,21.03,$0.74,28.42
2013-03-31,17.75,$1.90,9.34
2012-12-31,14.27,$1.85,7.71
2012-09-30,12.76,$1.80,7.09
2012-06-30,12.39,$1.70,7.29
2012-03-31,13.5,$1.68,8.04
2011-12-31,11.4,$1.72,6.63
2011-09-30,10.67,$1.60,6.67
2011-06-30,12.27,$1.49,8.24
2011-03-31,14.57,$1.45,10.05
2010-12-31,14.0,$1.36,10.29
2010-09-30,11.99,$1.30,9.23
2010-06-30,10.74,$1.18,9.11
2010-03-31,10.62,$0.89,11.93
2009-12-31,10.57,$0.98,10.79
