Universal PE Ratio Historical Data,Universal PE Ratio Historical Data,Universal PE Ratio Historical Data,Universal PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,51.36,,10.57
2024-06-30,46.62,$4.86,9.59
2024-03-31,49.21,$4.77,10.32
2023-12-31,63.25,$5.31,11.91
2023-09-30,43.61,$4.86,8.97
2023-06-30,45.39,$4.62,9.83
2023-03-31,47.35,$4.97,9.53
2022-12-31,46.59,$3.85,12.1
2022-09-30,39.91,$3.58,11.15
2022-06-30,51.67,$3.48,14.85
2022-03-31,48.94,$4.79,10.22
2021-12-31,45.65,$5.10,8.95
2021-09-30,39.55,$4.00,9.89
2021-03-31,46.96,$3.51,13.38
2020-12-31,38.14,$2.56,14.9
2020-09-30,32.28,$1.48,21.81
2020-06-30,32.17,$2.22,14.49
2020-03-31,32.92,$3.04,10.83
2021-06-30,45.96,$2.49,18.46
2019-12-31,41.92,$3.47,12.08
2019-09-30,39.7,$3.54,11.22
2019-06-30,43.48,$3.67,11.85
2019-03-31,40.71,$4.11,9.9
2018-12-31,37.74,$4.07,9.27
2018-09-30,44.77,$4.74,9.45
2018-06-30,45.01,$4.52,9.96
2018-03-31,32.69,$4.14,7.9
2017-12-31,35.02,$1.30,26.94
2017-09-30,37.85,$1.44,26.29
2017-06-30,42.38,$1.32,32.1
2017-03-31,45.98,$0.78,58.95
2016-12-31,41.09,$4.14,9.92
2016-09-30,37.18,$3.82,9.73
2016-06-30,36.53,$3.73,9.79
2016-03-31,35.6,$3.70,9.62
2015-12-31,34.8,$3.62,9.61
2015-09-30,30.45,$3.89,7.83
2015-06-30,34.89,$3.56,9.8
2015-03-31,28.39,$3.86,7.36
2014-12-31,26.13,$3.16,8.27
2014-09-30,26.06,$2.65,9.83
2014-06-30,32.2,$3.07,10.49
2014-03-31,32.2,$5.25,6.13
2013-12-31,31.16,$5.23,5.96
2013-09-30,28.78,$5.12,5.62
2013-06-30,32.41,$5.90,5.49
2013-03-31,31.12,$4.66,6.68
2012-12-31,27.45,$4.65,5.9
2012-09-30,27.74,$5.46,5.08
2012-06-30,24.98,$3.27,7.64
2012-03-31,24.86,$2.98,8.34
2011-12-31,24.26,$3.02,8.03
2011-09-30,18.69,$2.78,6.72
2011-06-30,19.39,$5.07,3.82
2011-03-31,22.18,$5.42,4.09
2010-12-31,20.48,$5.37,3.81
2010-09-30,19.94,$5.09,3.92
2010-06-30,19.51,$5.08,3.84
2010-03-31,25.68,$5.68,4.52
2009-12-31,22.02,$5.26,4.19
