NMI Holdings Inc PE Ratio Historical Data,NMI Holdings Inc PE Ratio Historical Data,NMI Holdings Inc PE Ratio Historical Data,NMI Holdings Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,41.5,,9.83
2024-06-30,34.04,$4.22,8.07
2024-03-31,32.34,$4.04,8.0
2023-12-31,29.68,$3.84,7.73
2023-09-30,27.09,$3.69,7.34
2023-06-30,25.82,$3.59,7.19
2023-03-31,22.33,$3.50,6.38
2022-12-31,20.9,$3.39,6.17
2022-09-30,20.37,$3.22,6.33
2022-06-30,16.65,$3.01,5.53
2022-03-31,20.62,$2.80,7.36
2021-12-31,21.85,$2.64,8.28
2021-09-30,22.61,$2.51,9.01
2021-06-30,22.48,$2.27,9.9
2021-03-31,23.64,$1.98,11.94
2020-12-31,22.65,$2.11,10.73
2020-09-30,17.8,$2.26,7.88
2020-06-30,16.08,$2.50,6.43
2020-03-31,11.61,$2.70,4.3
2019-12-31,33.18,$2.44,13.6
2019-09-30,26.26,$2.19,11.99
2019-06-30,28.39,$1.86,15.26
2019-03-31,25.87,$1.67,15.49
2018-12-31,17.85,$1.53,11.67
2018-09-30,22.65,$1.04,21.78
2018-06-30,16.3,$0.88,18.52
2018-03-31,16.55,$0.61,27.13
2017-12-31,17.0,$0.36,47.22
2017-09-30,12.4,$1.40,8.86
2017-06-30,11.45,$1.30,8.81
2017-03-31,11.4,$1.23,9.27
2016-12-31,10.65,$1.07,9.95
2016-09-30,7.62,$-0.02,0.0
2016-06-30,5.48,$-0.20,0.0
2016-03-31,5.05,$-0.41,0.0
2015-12-31,6.77,$-0.47,0.0
2015-09-30,7.6,$-0.56,0.0
2015-06-30,8.02,$-0.67,0.0
2015-03-31,7.49,$-0.71,0.0
2014-12-31,9.13,$-0.84,0.0
2014-09-30,8.65,$-0.90,0.0
