FB Financial PE Ratio Historical Data,FB Financial PE Ratio Historical Data,FB Financial PE Ratio Historical Data,FB Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,49.98,,24.14
2024-09-30,46.93,$2.07,22.67
2024-06-30,38.88,$2.48,15.68
2024-03-31,37.35,$2.38,15.69
2023-12-31,39.34,$2.57,15.31
2023-09-30,27.87,$2.75,10.13
2023-06-30,27.44,$3.02,9.09
2023-03-31,30.23,$2.68,11.28
2022-12-31,35.01,$2.64,13.26
2022-09-30,36.9,$2.85,12.95
2022-06-30,37.76,$3.11,12.14
2022-03-31,42.63,$3.60,11.84
2021-12-31,41.93,$3.96,10.59
2021-09-30,40.94,$3.89,10.52
2021-06-30,35.53,$2.81,12.64
2021-03-31,42.22,$2.61,16.17
2020-12-31,32.88,$1.53,21.49
2020-09-30,23.71,$1.26,18.82
2020-06-30,23.3,$2.16,10.79
2020-03-31,18.48,$2.05,9.01
2019-12-31,37.01,$2.65,13.96
2019-09-30,35.03,$2.51,13.95
2019-06-30,34.07,$2.43,14.02
2019-03-31,29.5,$2.54,11.61
2018-12-31,32.45,$2.55,12.72
2018-09-30,36.22,$2.75,13.17
2018-06-30,37.59,$2.34,16.07
2018-03-31,37.42,$2.07,18.08
2017-12-31,38.71,$1.84,21.04
2017-09-30,34.77,$1.47,23.65
2017-06-30,33.36,$1.27,26.27
