Meritage Homes PE Ratio Historical Data,Meritage Homes PE Ratio Historical Data,Meritage Homes PE Ratio Historical Data,Meritage Homes PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,201.92,,8.88
2024-06-30,161.25,$22.73,7.09
2024-03-31,174.01,$21.44,8.12
2023-12-31,171.92,$19.92,8.63
2023-09-30,120.61,$21.63,5.58
2023-06-30,139.91,$22.75,6.15
2023-03-31,114.59,$24.50,4.68
2022-12-31,90.25,$26.75,3.37
2022-09-30,68.79,$25.91,2.65
2022-06-30,70.97,$24.06,2.95
2022-03-31,77.56,$21.65,3.58
2021-12-31,119.48,$19.30,6.19
2021-09-30,94.95,$17.02,5.58
2021-06-30,92.1,$14.61,6.3
2021-03-31,89.98,$12.63,7.12
2020-12-31,81.07,$11.02,7.36
2020-09-30,108.06,$9.70,11.14
2020-06-30,74.51,$8.65,8.61
2020-03-31,35.74,$7.58,4.72
2019-12-31,59.82,$6.40,9.35
2019-09-30,68.87,$5.66,12.17
2019-06-30,50.26,$5.20,9.66
2019-03-31,43.77,$5.20,8.42
2018-12-31,35.95,$5.42,6.63
2018-09-30,39.06,$4.53,8.62
2018-06-30,43.02,$4.18,10.29
2017-12-31,50.12,$3.43,14.61
2017-09-30,43.46,$3.78,11.5
2017-06-30,41.31,$3.64,11.35
2017-03-31,36.02,$3.61,9.98
2016-12-31,34.07,$3.55,9.6
2016-09-30,33.97,$3.59,9.46
2016-06-30,36.75,$3.44,10.68
2016-03-31,35.69,$3.19,11.19
2015-12-31,33.27,$3.09,10.77
2015-09-30,35.75,$2.90,12.33
2015-06-30,46.1,$3.36,13.72
2015-03-31,47.61,$3.45,13.8
2018-03-31,44.3,$3.90,11.36
2014-12-31,35.23,$3.45,10.21
2014-09-30,34.75,$3.45,10.07
2014-06-30,41.32,$3.65,11.32
2014-03-31,41.0,$3.54,11.58
2013-12-31,46.98,$3.24,14.5
2013-09-30,42.04,$4.54,9.26
2013-06-30,42.45,$3.74,11.35
2013-03-31,45.87,$3.24,14.16
2012-12-31,36.56,$2.77,13.2
2012-09-30,37.23,$-0.08,0.0
2012-06-30,33.22,$-0.37,0.0
2012-03-31,26.49,$-0.59,0.0
2011-12-31,22.7,$-0.65,0.0
2011-09-30,14.82,$-0.32,0.0
2011-06-30,22.08,$-0.18,0.0
2011-03-31,23.62,$-0.07,0.0
2010-12-31,21.73,$0.22,98.78
2010-09-30,19.21,$1.60,12.0
2010-06-30,15.94,$1.00,15.94
2010-03-31,20.56,$-1.50,0.0
2009-12-31,18.92,$-2.18,0.0
