Trinity Industries PE Ratio Historical Data,Trinity Industries PE Ratio Historical Data,Trinity Industries PE Ratio Historical Data,Trinity Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,35.2,,18.14
2024-06-30,29.41,$1.94,15.16
2024-03-31,27.09,$1.49,18.18
2023-12-31,25.58,$1.26,20.3
2023-09-30,23.15,$0.89,26.01
2023-06-30,24.2,$0.94,25.74
2023-03-31,22.68,$0.78,29.08
2022-12-31,27.28,$0.72,37.89
2022-09-30,19.5,$1.71,11.4
2022-06-30,21.89,$1.73,12.65
2022-03-31,30.83,$1.81,17.03
2021-12-31,26.9,$1.85,14.54
2021-09-30,24.02,$-0.65,0.0
2021-06-30,23.59,$-0.77,0.0
2021-03-31,24.81,$-2.65,0.0
2020-12-31,22.81,$-1.35,0.0
2020-09-30,16.7,$-0.05,0.0
2020-06-30,18.07,$0.13,139.03
2020-03-31,13.49,$2.17,6.22
2019-12-31,18.43,$1.07,17.23
2019-09-30,16.22,$1.09,14.88
2019-06-30,16.95,$0.89,19.05
2019-03-31,17.62,$1.04,16.95
2018-12-31,16.6,$1.07,15.51
2018-09-30,21.85,$4.30,5.08
2018-06-30,20.35,$4.54,4.48
2018-03-31,19.31,$4.44,4.35
2017-12-31,22.09,$4.48,4.93
2017-09-30,18.74,$1.50,12.49
2017-06-30,16.39,$1.62,10.11
2017-03-31,15.46,$1.91,8.09
2016-12-31,16.1,$2.25,7.16
2016-09-30,13.96,$3.11,4.49
2016-06-30,10.66,$3.87,2.76
2016-03-31,10.46,$4.58,2.28
2015-12-31,13.64,$5.07,2.69
2015-09-30,12.82,$4.63,2.77
2015-06-30,14.89,$4.22,3.53
2015-03-31,19.94,$3.90,5.11
2014-12-31,15.67,$4.20,3.74
2014-09-30,26.06,$4.06,6.43
2014-06-30,24.33,$3.79,6.43
2014-03-31,20.01,$3.31,6.06
2013-12-31,15.1,$2.38,6.36
2013-09-30,12.52,$2.11,5.95
2013-06-30,10.57,$1.88,5.64
2013-03-31,12.43,$1.77,7.04
2012-12-31,9.8,$1.60,6.12
2012-09-30,8.17,$1.50,5.44
2012-06-30,6.77,$1.30,5.21
2012-03-31,8.91,$1.07,8.36
2011-12-31,8.1,$0.89,9.16
2011-09-30,5.75,$0.65,8.92
2011-06-30,9.35,$0.63,14.83
2011-03-31,9.8,$0.56,17.51
2010-12-31,7.09,$0.42,16.89
2010-09-30,5.92,$0.41,14.61
2010-06-30,4.69,$0.37,12.84
2010-03-31,5.26,$-1.13,0.0
2009-12-31,4.58,$-0.92,0.0
