Protagonist Therapeutics PE Ratio Historical Data,Protagonist Therapeutics PE Ratio Historical Data,Protagonist Therapeutics PE Ratio Historical Data,Protagonist Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,47.02,,17.95
2024-06-30,34.65,$2.62,13.23
2024-03-31,28.93,$2.44,11.86
2023-12-31,22.93,$-1.49,0.0
2023-09-30,16.68,$-2.62,0.0
2023-06-30,27.62,$-2.68,0.0
2023-03-31,23.0,$-2.84,0.0
2022-12-31,10.91,$-2.60,0.0
2022-09-30,8.43,$-2.68,0.0
2022-06-30,7.91,$-2.74,0.0
2022-03-31,23.68,$-2.59,0.0
2021-12-31,34.2,$-2.70,0.0
2021-09-30,17.72,$-2.41,0.0
2021-06-30,44.88,$-1.92,0.0
2021-03-31,25.9,$-1.82,0.0
2020-12-31,20.16,$-2.00,0.0
2020-09-30,19.55,$-2.15,0.0
2020-06-30,17.66,$-2.55,0.0
2020-03-31,7.06,$-3.14,0.0
2019-12-31,7.05,$-3.00,0.0
2019-09-30,12.01,$-2.94,0.0
2019-06-30,12.11,$-2.71,0.0
2019-03-31,12.57,$-1.94,0.0
2018-12-31,6.73,$-1.72,0.0
2018-09-30,10.29,$-1.30,0.0
2018-06-30,6.72,$-1.21,0.0
2018-03-31,8.59,$-1.69,0.0
2017-12-31,20.8,$-2.17,0.0
2017-09-30,17.67,$-2.69,0.0
2017-06-30,11.31,$-3.27,0.0
