Amalgamated Financial PE Ratio Historical Data,Amalgamated Financial PE Ratio Historical Data,Amalgamated Financial PE Ratio Historical Data,Amalgamated Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,34.79,,10.77
2024-06-30,27.4,$3.23,8.48
2024-03-31,24.0,$3.06,7.84
2023-12-31,26.94,$2.86,9.42
2023-09-30,17.22,$2.92,5.9
2023-06-30,16.09,$2.93,5.49
2023-03-31,17.69,$2.86,6.19
2022-12-31,23.04,$2.62,8.79
2022-09-30,22.55,$2.32,9.72
2022-06-30,19.7,$2.04,9.66
2022-03-31,17.82,$1.74,10.24
2021-12-31,16.55,$1.68,9.85
2021-09-30,15.55,$1.62,9.6
2021-06-30,15.28,$1.56,9.8
2021-03-31,16.14,$1.56,10.35
2020-12-31,13.3,$1.47,9.05
2020-09-30,10.18,$1.40,7.27
2020-06-30,12.08,$1.35,8.95
2020-03-31,10.25,$1.35,7.59
2019-12-31,18.34,$1.05,17.47
2019-06-30,16.32,$0.97,16.83
2019-03-31,14.59,$1.03,14.16
