Grocery Outlet Holding PE Ratio Historical Data,Grocery Outlet Holding PE Ratio Historical Data,Grocery Outlet Holding PE Ratio Historical Data,Grocery Outlet Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,17.52,,32.44
2024-06-30,22.12,$0.54,40.96
2024-03-31,28.78,$0.64,44.97
2023-12-31,26.96,$0.79,34.13
2023-09-30,28.85,$0.81,35.62
2023-06-30,30.61,$0.71,43.11
2023-03-31,28.26,$0.67,42.18
2022-12-31,29.19,$0.65,44.91
2022-09-30,33.29,$0.56,59.45
2022-06-30,42.63,$0.56,76.13
2022-03-31,32.78,$0.56,58.54
2021-12-31,28.28,$0.63,44.89
2021-09-30,21.57,$0.80,26.96
2021-06-30,34.66,$1.04,33.33
2021-03-31,36.89,$1.14,32.36
2020-12-31,39.25,$1.08,36.34
2020-09-30,39.32,$0.95,41.39
2020-06-30,40.8,$0.67,60.9
2020-03-31,34.34,$0.22,156.09
