Visa PE Ratio Historical Data,Visa PE Ratio Historical Data,Visa PE Ratio Historical Data,Visa PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,276.37,,29.56
2024-06-30,261.95,$9.35,28.02
2024-03-31,278.01,$8.95,31.06
2023-12-31,258.86,$8.69,29.79
2023-09-30,228.21,$8.29,27.53
2023-06-30,235.18,$7.88,29.84
2023-03-31,222.84,$7.48,29.79
2022-12-31,204.94,$7.15,28.66
2022-09-30,174.84,$6.99,25.01
2022-06-30,193.43,$6.78,28.53
2022-03-31,217.45,$6.36,34.19
2021-12-31,212.14,$6.04,35.12
2021-09-30,217.67,$5.63,38.66
2021-06-30,228.17,$4.95,46.1
2021-03-31,206.32,$4.84,42.63
2020-12-31,212.82,$4.84,43.97
2020-09-30,194.27,$4.88,39.81
2020-06-30,187.38,$5.25,35.69
2020-03-31,156.02,$5.55,28.11
2019-12-31,181.69,$5.48,33.16
2019-09-30,166.05,$5.32,31.21
2019-06-30,167.54,$5.21,32.16
2019-03-31,150.55,$4.84,31.11
2018-12-31,126.95,$4.64,27.36
2018-09-30,144.16,$4.41,32.69
2018-06-30,127.03,$4.08,31.14
2018-03-31,114.54,$3.94,29.07
2017-12-31,108.99,$3.01,36.21
2017-09-30,100.42,$2.80,35.87
2017-06-30,89.34,$2.69,33.21
2017-03-31,84.51,$2.00,42.26
2016-12-31,74.06,$2.53,29.27
2016-09-30,78.34,$2.47,31.72
2016-06-30,70.14,$2.30,30.49
2016-03-31,72.19,$2.82,25.6
2015-12-31,73.06,$2.74,26.66
2015-09-30,65.51,$2.57,25.47
2015-06-30,63.05,$2.38,26.46
2015-03-31,61.31,$2.24,27.43
2014-12-31,61.33,$2.24,27.44
2014-09-30,49.81,$2.15,23.14
2014-06-30,49.1,$2.19,22.47
2014-03-31,50.2,$2.11,23.76
2013-12-31,51.69,$1.96,26.34
2013-09-30,44.27,$1.90,23.36
2013-06-30,42.26,$2.05,20.62
2013-03-31,39.21,$0.90,43.8
2012-12-31,34.92,$0.89,39.12
2012-09-30,30.86,$0.78,39.44
2012-06-30,28.36,$0.48,58.78
2012-03-31,27.02,$1.53,17.72
2011-12-31,23.2,$1.36,17.12
2011-09-30,19.55,$1.29,15.15
2011-06-30,19.18,$1.24,15.5
2011-03-31,16.72,$1.12,14.9
2010-12-31,15.96,$1.06,15.12
2010-09-30,16.8,$1.00,16.76
2010-06-30,15.98,$0.91,17.56
2010-03-31,20.53,$0.91,22.56
2009-12-31,19.7,$0.85,23.24
