Goosehead Insurance PE Ratio Historical Data,Goosehead Insurance PE Ratio Historical Data,Goosehead Insurance PE Ratio Historical Data,Goosehead Insurance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,97.52,,137.35
2024-06-30,57.44,$0.71,80.9
2024-03-31,66.62,$0.62,107.45
2023-12-31,75.8,$0.57,132.98
2023-09-30,74.53,$0.45,165.62
2023-06-30,62.89,$0.26,241.88
2023-03-31,52.2,$0.13,401.54
2022-12-31,34.34,$0.02,1717.0
2022-09-30,35.64,$0.01,0.0
2022-06-30,45.67,$0.11,415.18
2022-03-31,78.57,$0.16,491.06
2021-12-31,130.08,$0.25,520.32
2021-09-30,152.29,$0.38,400.76
2021-06-30,125.66,$0.36,349.06
2021-03-31,105.8,$0.48,220.42
2020-12-31,123.15,$0.49,251.33
2020-09-30,85.48,$0.46,185.82
2020-06-30,73.39,$0.35,209.7
2020-03-31,43.58,$0.22,198.1
2019-12-31,41.4,$0.39,106.16
2019-09-30,48.19,$0.29,166.17
2019-06-30,46.68,$0.25,186.71
2019-03-31,27.22,$-0.49,0.0
