MDU Resources PE Ratio Historical Data,MDU Resources PE Ratio Historical Data,MDU Resources PE Ratio Historical Data,MDU Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,29.12,,14.56
2024-06-30,25.1,$2.00,12.55
2024-03-31,25.2,$2.34,10.77
2023-12-31,19.8,$2.04,9.71
2023-09-30,19.58,$1.77,11.06
2023-06-30,20.94,$2.13,9.83
2023-03-31,30.48,$1.84,16.57
2022-12-31,30.34,$1.81,16.76
2022-09-30,27.35,$1.66,16.48
2022-06-30,26.8,$1.61,16.64
2022-03-31,26.25,$1.76,14.91
2021-12-31,30.12,$1.86,16.2
2021-09-30,28.76,$2.00,14.38
2021-06-30,30.18,$2.08,14.51
2021-03-31,30.25,$2.08,14.54
2020-12-31,25.03,$1.95,12.84
2020-09-30,21.2,$1.86,11.4
2020-06-30,20.72,$1.79,11.57
2020-03-31,19.9,$1.60,12.44
2019-12-31,27.29,$1.68,16.24
2019-09-30,25.71,$1.61,15.97
2019-06-30,23.36,$1.47,15.89
2019-03-31,23.2,$1.38,16.81
2018-12-31,21.25,$1.39,15.28
2018-09-30,22.72,$1.58,14.38
2018-06-30,25.18,$1.48,17.01
2018-03-31,24.55,$1.47,16.7
2017-12-31,23.26,$1.44,16.15
2017-09-30,22.29,$1.18,18.89
2017-06-30,22.35,$1.15,19.43
2017-03-31,23.18,$0.38,61.0
2016-12-31,24.19,$0.32,75.59
2016-09-30,21.25,$0.26,81.72
2016-06-30,19.89,$-0.88,0.0
2016-03-31,16.0,$-1.50,0.0
2015-12-31,14.91,$-3.20,0.0
2015-09-30,13.85,$-3.04,0.0
2015-06-30,15.55,$-1.79,0.0
2015-03-31,16.84,$-0.33,0.0
2014-12-31,18.38,$1.54,11.93
2014-09-30,21.58,$1.59,13.57
2014-06-30,27.08,$1.50,18.06
2014-03-31,26.33,$1.46,18.04
2013-12-31,23.32,$1.46,15.97
2013-09-30,21.22,$0.66,32.16
2013-06-30,19.53,$0.06,325.58
2013-03-31,18.71,$0.11,170.12
2012-12-31,15.79,$-0.00,0.0
2012-09-30,16.26,$0.64,25.4
2012-06-30,15.82,$1.14,13.88
2012-03-31,16.27,$1.09,14.93
2011-12-31,15.48,$1.13,13.7
2011-09-30,13.73,$1.28,10.73
2011-06-30,15.97,$1.26,12.67
2011-03-31,16.18,$1.28,12.64
2010-12-31,14.18,$1.27,11.16
2010-09-30,13.84,$1.19,11.63
2010-06-30,12.41,$1.37,9.06
2010-03-31,14.72,$1.41,10.44
2009-12-31,15.99,$-0.68,0.0
