Hillman Solutions PE Ratio Historical Data,Hillman Solutions PE Ratio Historical Data,Hillman Solutions PE Ratio Historical Data,Hillman Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.08,,369.33
2024-06-30,8.85,$0.03,295.0
2024-03-31,10.64,$-0.01,0.0
2023-12-31,9.21,$-0.05,0.0
2023-09-30,8.25,$-0.07,0.0
2023-06-30,9.01,$-0.15,0.0
2023-03-31,8.42,$-0.13,0.0
2022-12-31,7.21,$-0.09,0.0
2022-09-30,7.54,$0.01,0.0
2022-06-30,8.64,$-0.13,0.0
2022-03-31,11.88,$-1.99,0.0
2021-12-31,10.75,$-1.98,0.0
2021-09-30,11.93,$-2.01,0.0
