Telefonica SA PE Ratio Historical Data,Telefonica SA PE Ratio Historical Data,Telefonica SA PE Ratio Historical Data,Telefonica SA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,4.83,,0.0
2024-06-30,4.21,$-0.16,0.0
2024-03-31,4.25,$-0.16,0.0
2023-12-31,3.76,$-0.21,0.0
2023-09-30,3.77,$0.29,12.98
2023-06-30,3.73,$0.27,13.81
2023-03-31,3.8,$0.24,15.84
2022-12-31,3.17,$0.34,9.32
2022-09-30,2.75,$0.40,6.88
2022-06-30,4.36,$0.33,13.21
2022-03-31,3.87,$0.46,8.42
2021-09-30,3.66,$0.51,7.17
2021-06-30,3.65,$0.32,11.4
2021-03-31,3.23,$0.40,8.08
2020-12-31,2.88,$0.29,9.94
2020-09-30,2.33,$0.04,58.2
2020-06-30,3.26,$-0.01,0.0
2020-03-31,2.97,$0.09,32.95
2019-12-31,4.52,$0.20,22.61
2019-09-30,4.79,$0.39,12.28
2019-06-30,5.22,$0.73,7.15
2019-03-31,5.13,$0.74,6.93
2018-12-31,5.19,$0.71,7.31
2018-09-30,4.72,$0.76,6.21
2018-06-30,5.12,$0.67,7.64
2018-03-31,5.77,$0.69,8.37
2017-09-30,6.16,$0.69,8.93
2017-03-31,6.27,$0.09,69.61
2016-09-30,5.43,$0.14,38.76
2016-03-31,5.74,$0.34,16.9
2015-12-31,5.71,$0.62,9.21
2015-09-30,6.04,$1.06,5.7
2015-06-30,7.12,$1.11,6.41
2015-03-31,6.98,$1.06,6.59
2014-12-31,6.91,$0.84,8.23
2014-09-30,7.27,$1.24,5.86
2014-06-30,8.12,$1.31,6.2
2014-03-31,7.23,$1.21,5.97
2013-12-31,7.48,$1.14,6.56
2013-09-30,6.89,$1.12,6.15
2013-03-31,6.02,$1.16,5.19
2012-12-31,6.01,$1.11,5.41
2012-09-30,5.91,$1.76,3.36
2012-06-30,5.83,$1.22,4.77
2012-03-31,6.94,$1.35,5.12
2011-12-31,7.27,$1.47,4.93
2011-09-30,7.75,$1.19,6.49
2011-06-30,9.93,$1.74,5.71
2013-06-30,5.7,$2.66,2.14
2011-03-31,9.89,$2.92,3.38
2010-12-31,8.95,$2.91,3.07
2010-09-30,9.44,$3.27,2.89
2010-06-30,7.07,$2.47,2.86
2010-03-31,8.75,$2.08,4.21
2009-12-31,10.28,$1.74,5.9
