Icahn Enterprises PE Ratio Historical Data,Icahn Enterprises PE Ratio Historical Data,Icahn Enterprises PE Ratio Historical Data,Icahn Enterprises PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.81,,0.0
2024-06-30,15.52,$-1.15,0.0
2024-03-31,15.12,$-1.15,0.0
2023-12-31,14.48,$-1.81,0.0
2023-09-30,15.75,$-2.22,0.0
2023-06-30,22.12,$-2.58,0.0
2023-03-31,37.09,$-2.27,0.0
2022-12-31,34.95,$-0.46,0.0
2022-09-30,33.01,$-1.44,0.0
2022-06-30,30.79,$-1.62,0.0
2022-03-31,31.99,$-1.74,0.0
2021-12-31,29.43,$-2.15,0.0
2021-09-30,28.59,$0.18,158.84
2021-06-30,30.37,$-2.41,0.0
2021-03-31,28.65,$-0.52,0.0
2020-12-31,26.07,$-7.51,0.0
2020-09-30,24.41,$-8.86,0.0
2020-06-30,23.12,$-5.96,0.0
2020-03-31,22.2,$-9.81,0.0
2019-12-31,26.98,$-5.49,0.0
2019-09-30,27.32,$3.28,8.33
2019-06-30,29.97,$4.20,7.14
2019-03-31,29.21,$8.39,3.48
2018-12-31,22.36,$11.18,2.0
2018-09-30,27.02,$4.87,5.55
2018-06-30,26.54,$7.72,3.44
2018-03-31,20.78,$15.53,1.34
2017-12-31,18.76,$14.64,1.28
2017-09-30,18.91,$11.50,1.64
2017-06-30,17.33,$7.85,2.21
2017-03-31,16.68,$-2.16,0.0
2016-12-31,18.98,$-8.25,0.0
2016-09-30,15.53,$-15.39,0.0
2016-06-30,16.16,$-18.61,0.0
2016-03-31,18.37,$-16.43,0.0
2015-12-31,17.45,$-8.95,0.0
2015-09-30,18.7,$3.45,5.42
2015-06-30,23.71,$3.89,6.09
2015-03-31,24.12,$6.27,3.85
2014-12-31,24.48,$4.76,5.14
2014-09-30,28.02,$2.82,9.93
2014-06-30,26.02,$9.82,2.65
2014-03-31,26.42,$6.24,4.23
2013-12-31,27.77,$8.98,3.09
2013-09-30,20.9,$7.14,2.93
2013-06-30,17.97,$3.80,4.73
2013-03-31,13.3,$5.58,2.38
2012-12-31,10.76,$3.56,3.02
2012-09-30,9.76,$6.30,1.55
2012-06-30,9.51,$5.12,1.86
2012-03-31,10.2,$5.97,1.71
2011-12-31,8.41,$8.08,1.04
2011-09-30,8.49,$6.18,1.37
2011-06-30,10.05,$9.85,1.02
2011-03-31,9.22,$4.65,1.98
2010-12-31,8.09,$1.29,6.29
2010-09-30,8.36,$0.29,28.83
2010-06-30,8.36,$-1.60,0.0
2010-03-31,10.67,$2.02,5.28
2009-12-31,8.92,$2.80,3.18
