Five9 PE Ratio Historical Data,Five9 PE Ratio Historical Data,Five9 PE Ratio Historical Data,Five9 PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,29.97,,0.0
2024-06-30,44.1,$-0.72,0.0
2024-03-31,62.11,$-0.85,0.0
2023-12-31,78.69,$-1.13,0.0
2023-09-30,64.3,$-1.15,0.0
2023-06-30,82.45,$-1.20,0.0
2023-03-31,72.29,$-1.24,0.0
2022-12-31,67.86,$-1.35,0.0
2022-09-30,74.98,$-1.21,0.0
2022-06-30,91.14,$-1.18,0.0
2022-03-31,110.4,$-1.09,0.0
2021-12-31,137.32,$-0.78,0.0
2021-09-30,159.74,$-0.84,0.0
2021-06-30,183.39,$-0.71,0.0
2021-03-31,156.33,$-0.71,0.0
2020-12-31,174.4,$-0.65,0.0
2020-09-30,129.68,$-0.53,0.0
2020-06-30,110.67,$-0.39,0.0
2020-03-31,76.46,$-0.17,0.0
2019-12-31,65.58,$-0.08,0.0
2019-09-30,53.74,$-0.03,0.0
2019-06-30,51.29,$-0.02,0.0
2019-03-31,52.83,$-0.03,0.0
2018-12-31,43.72,$-0.01,0.0
2018-09-30,43.69,$-0.08,0.0
2018-06-30,34.57,$-0.04,0.0
2018-03-31,29.79,$-0.07,0.0
2017-12-31,24.88,$-0.16,0.0
2017-09-30,23.9,$-0.14,0.0
2017-06-30,21.52,$-0.23,0.0
2017-03-31,16.46,$-0.23,0.0
2016-12-31,14.19,$-0.23,0.0
2016-09-30,15.68,$-0.31,0.0
2016-06-30,11.9,$-0.36,0.0
2016-03-31,8.89,$-0.44,0.0
2015-12-31,8.7,$-0.52,0.0
2015-09-30,3.7,$-0.64,0.0
2015-06-30,5.23,$-0.76,0.0
2015-03-31,5.56,$-0.79,0.0
