Sunstone Hotel Investors PE Ratio Historical Data,Sunstone Hotel Investors PE Ratio Historical Data,Sunstone Hotel Investors PE Ratio Historical Data,Sunstone Hotel Investors PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.4,,12.68
2024-06-30,10.37,$0.82,12.65
2024-03-31,10.95,$0.90,12.17
2023-12-31,10.48,$0.92,11.39
2023-09-30,9.02,$0.40,22.56
2023-06-30,9.7,$0.49,19.79
2022-12-31,9.16,$0.35,26.18
2022-09-30,8.89,$0.89,9.99
2022-06-30,9.31,$0.68,13.69
2022-03-31,11.06,$0.37,29.88
2021-12-31,11.01,$0.06,183.48
2021-09-30,11.21,$-0.74,0.0
2021-06-30,11.66,$-1.04,0.0
2021-03-31,11.69,$-1.43,0.0
2020-12-31,10.63,$-1.92,0.0
2020-09-30,7.45,$-1.55,0.0
2020-06-30,7.65,$-1.00,0.0
2020-03-31,8.17,$-0.27,0.0
2019-12-31,12.99,$0.54,24.05
2019-09-30,12.3,$0.68,18.09
2019-06-30,12.23,$0.94,13.01
2019-03-31,12.8,$0.96,13.33
2018-12-31,11.52,$1.05,10.97
2018-09-30,13.91,$0.80,17.39
2018-06-30,14.09,$0.47,29.98
2018-03-31,12.86,$0.48,26.8
2017-12-31,13.93,$0.60,23.21
2017-09-30,13.08,$0.67,19.53
2017-06-30,13.08,$0.78,16.78
2017-03-31,12.41,$0.83,14.95
2016-12-31,12.3,$0.54,22.78
2016-09-30,9.97,$1.52,6.56
2016-06-30,9.37,$1.64,5.71
2016-03-31,10.82,$1.61,6.72
2015-12-31,9.62,$1.61,5.97
2015-09-30,10.19,$0.54,18.87
2015-06-30,11.52,$0.40,28.79
2015-03-31,12.75,$0.39,32.68
2014-12-31,12.59,$0.37,34.02
2014-09-30,10.32,$0.33,31.26
2014-06-30,11.1,$0.26,42.71
2014-03-31,10.18,$0.13,78.29
2013-12-31,9.9,$0.29,34.13
2013-09-30,9.37,$0.31,30.24
2013-06-30,8.85,$0.47,18.84
2013-03-31,9.02,$0.41,22.01
2012-12-31,7.85,$0.11,71.37
2012-09-30,8.06,$0.08,100.79
2012-06-30,8.06,$-0.35,0.0
2012-03-31,7.14,$-0.12,0.0
2011-12-31,5.97,$0.45,13.28
2011-09-30,4.17,$0.73,5.71
2011-06-30,6.79,$1.12,6.07
2011-03-31,7.47,$0.81,9.22
2010-12-31,7.57,$0.15,50.48
2010-09-30,6.65,$-1.58,0.0
2010-06-30,7.28,$-2.08,0.0
2010-03-31,8.19,$-4.26,0.0
2009-12-31,6.51,$-3.97,0.0
2009-09-30,5.2,$-2.44,0.0
