Piper Sandler PE Ratio Historical Data,Piper Sandler PE Ratio Historical Data,Piper Sandler PE Ratio Historical Data,Piper Sandler PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,303.62,,39.85
2024-06-30,229.61,$7.62,30.13
2024-03-31,197.45,$5.88,33.58
2023-12-31,172.49,$4.94,34.92
2023-09-30,142.77,$4.19,34.07
2023-06-30,126.45,$4.84,26.13
2023-03-31,134.96,$5.87,22.99
2022-12-31,125.18,$6.50,19.26
2022-09-30,100.29,$10.79,9.29
2022-06-30,108.02,$12.60,8.57
2022-03-31,124.49,$15.46,8.05
2021-12-31,163.31,$16.34,9.99
2021-09-30,124.24,$12.46,9.97
2021-06-30,115.8,$10.56,10.97
2021-03-31,97.66,$6.54,14.93
2020-12-31,88.02,$2.47,35.64
2020-09-30,63.43,$2.51,25.27
2020-06-30,51.2,$4.74,10.8
2020-03-31,43.62,$5.36,8.14
2019-12-31,67.87,$7.75,8.76
2019-09-30,63.78,$6.26,10.19
2019-06-30,62.43,$4.68,13.34
2019-03-31,60.91,$4.39,13.87
2018-12-31,54.78,$3.54,15.47
2018-09-30,63.18,$-1.30,0.0
2018-06-30,63.29,$-6.64,0.0
2018-03-31,68.06,$-6.18,0.0
2017-12-31,69.08,$-5.34,0.0
2017-09-30,47.35,$-4.71,0.0
2017-06-30,47.56,$-0.10,0.0
2017-03-31,50.39,$-0.87,0.0
2016-12-31,57.0,$-2.02,0.0
2016-09-30,37.97,$1.86,20.42
2016-06-30,29.64,$1.48,20.03
2016-03-31,38.96,$2.44,15.97
2015-12-31,31.76,$3.31,9.6
2015-09-30,28.44,$3.20,8.89
2015-06-30,34.31,$3.78,9.08
2015-03-31,41.24,$3.81,10.83
2014-12-31,45.67,$3.88,11.77
2014-09-30,41.07,$4.81,8.54
2014-06-30,40.7,$4.24,9.6
2014-03-31,36.01,$3.28,10.98
2013-12-31,31.09,$2.75,11.31
2013-09-30,26.96,$1.72,15.67
2013-06-30,24.85,$2.50,9.94
2013-03-31,26.97,$2.72,9.91
2012-12-31,25.26,$2.30,10.98
2012-09-30,20.01,$-5.75,0.0
2012-06-30,18.42,$-7.09,0.0
2012-03-31,20.93,$-6.91,0.0
2011-12-31,15.88,$-6.68,0.0
2011-09-30,14.1,$1.19,11.85
2011-06-30,22.65,$1.78,12.72
2011-03-31,32.57,$1.59,20.49
2010-12-31,27.52,$1.84,14.96
2010-09-30,22.9,$1.82,12.58
2010-06-30,25.33,$2.05,12.36
2009-12-31,39.79,$1.52,26.18
2009-09-30,37.52,$0.92,40.78
