Travel + Leisure PE Ratio Historical Data,Travel + Leisure PE Ratio Historical Data,Travel + Leisure PE Ratio Historical Data,Travel + Leisure PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,47.33,,7.9
2024-06-30,44.46,$5.99,7.42
2024-03-31,47.84,$5.43,8.81
2023-12-31,37.8,$5.32,7.1
2023-09-30,35.13,$4.67,7.52
2023-06-30,38.14,$4.56,8.36
2023-03-31,36.67,$4.47,8.2
2022-12-31,33.64,$4.25,7.92
2022-09-30,31.2,$4.35,7.17
2022-06-30,35.16,$4.12,8.53
2022-03-31,52.0,$3.78,13.76
2021-12-31,49.23,$3.52,13.99
2021-09-30,48.23,$2.33,20.7
2021-06-30,52.3,$1.65,31.7
2021-03-31,53.55,$-1.09,0.0
2020-12-31,39.09,$-2.96,0.0
2020-09-30,26.61,$-1.12,0.0
2020-06-30,24.17,$-0.12,0.0
2020-03-31,18.33,$3.12,5.87
2019-12-31,42.97,$5.50,7.81
2019-09-30,37.92,$4.79,7.92
2019-06-30,35.83,$4.81,7.45
2019-03-31,32.7,$7.26,4.5
2018-12-31,28.64,$6.76,4.24
2018-09-30,34.27,$10.01,3.42
2018-06-30,34.65,$10.49,3.3
2018-03-31,40.09,$7.47,5.37
2017-12-31,40.36,$8.46,4.77
2017-09-30,36.53,$5.58,6.55
2017-06-30,34.59,$5.39,6.42
2017-03-31,28.86,$6.03,4.79
2016-12-31,25.97,$5.54,4.69
2016-09-30,22.74,$5.22,4.36
2016-06-30,23.89,$5.05,4.73
2016-03-31,25.45,$4.99,5.1
2015-12-31,24.03,$5.15,4.67
2015-09-30,23.65,$4.59,5.15
2015-06-30,26.79,$4.62,5.8
2015-03-31,29.45,$4.49,6.56
2014-12-31,27.78,$4.18,6.65
2014-09-30,26.22,$4.18,6.27
2014-06-30,24.32,$3.94,6.17
2014-03-31,23.41,$3.72,6.29
2013-12-31,23.45,$3.22,7.28
2013-09-30,19.24,$3.14,6.13
2013-06-30,17.97,$2.85,6.31
2013-03-31,20.15,$2.75,7.33
2012-12-31,16.55,$2.77,5.98
2012-09-30,16.25,$2.57,6.32
2012-06-30,16.26,$2.54,6.4
2012-03-31,14.27,$2.33,6.12
2011-12-31,11.55,$2.53,4.56
2011-09-30,8.67,$2.59,3.35
2011-06-30,10.17,$2.35,4.33
2011-03-31,9.58,$2.19,4.37
2010-12-31,8.98,$2.05,4.38
2010-09-30,8.2,$2.02,4.06
2010-06-30,5.98,$1.75,3.42
2010-03-31,7.6,$1.63,4.66
2009-12-31,5.92,$1.61,3.68
