"PT Telekomunikasi Indonesia, Tbk PE Ratio Historical Data","PT Telekomunikasi Indonesia, Tbk PE Ratio Historical Data","PT Telekomunikasi Indonesia, Tbk PE Ratio Historical Data","PT Telekomunikasi Indonesia, Tbk PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.39,,15.51
2024-06-30,18.7,$1.25,14.96
2024-03-31,21.02,$1.68,12.51
2023-03-31,24.72,$1.72,14.37
2022-03-31,27.95,$1.72,16.25
2021-03-31,19.75,$1.70,11.62
2020-03-31,15.33,$1.95,7.86
2019-03-31,20.97,$1.89,11.12
2018-03-31,19.27,$1.84,10.5
2017-03-31,22.14,$1.84,12.03
2016-03-31,17.5,$1.53,11.44
2015-12-31,15.28,$1.58,9.7
2015-09-30,12.27,$1.50,8.18
2015-06-30,14.93,$1.77,8.44
2015-03-31,14.53,$1.74,8.35
2014-12-31,15.1,$1.68,9.01
2014-06-30,13.9,$1.72,8.11
2014-03-31,12.57,$1.41,8.95
2013-12-31,11.45,$1.43,8.0
2013-09-30,11.59,$1.41,8.25
2013-06-30,13.65,$1.45,9.41
2013-03-31,13.87,$1.43,9.7
2012-12-31,11.37,$1.45,7.87
2012-09-30,11.98,$1.43,8.4
2012-06-30,10.71,$1.22,8.82
2012-03-31,8.88,$1.26,7.05
2011-12-31,8.99,$1.28,7.02
2011-09-30,9.67,$1.40,6.91
2011-03-31,9.43,$1.40,6.74
2010-12-31,10.01,$1.40,7.15
2010-09-30,11.56,$1.40,8.26
2010-06-30,9.27,$1.20,7.73
2010-03-31,9.69,$1.40,6.92
2009-12-31,10.82,$1.20,9.02
2009-09-30,9.65,$1.20,8.04
