Shutterstock PE Ratio Historical Data,Shutterstock PE Ratio Historical Data,Shutterstock PE Ratio Historical Data,Shutterstock PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,31.24,,14.01
2024-06-30,38.37,$2.23,17.21
2023-12-31,47.57,$3.03,15.7
2023-09-30,37.26,$3.25,11.47
2023-06-30,47.36,$2.91,16.28
2023-03-31,70.27,$2.18,32.23
2022-12-31,50.84,$1.81,28.09
2024-03-31,45.42,$2.33,19.5
2022-09-30,48.17,$2.33,20.67
2022-06-30,54.79,$2.12,25.84
2022-03-31,88.62,$2.38,37.24
2021-12-31,105.29,$2.46,42.8
2021-09-30,107.4,$2.71,39.63
2021-06-30,92.87,$2.90,32.03
2021-03-31,84.04,$2.64,31.83
2020-12-31,67.51,$1.97,34.27
2020-09-30,48.88,$1.39,35.17
2020-06-30,32.74,$0.91,35.98
2020-03-31,29.97,$0.47,63.77
2019-12-31,39.78,$0.56,71.04
2019-09-30,33.51,$0.86,38.97
2019-06-30,36.36,$0.93,39.1
2019-03-31,43.26,$0.83,52.12
2018-12-31,33.41,$1.54,21.69
2018-09-30,50.64,$1.18,42.91
2018-06-30,41.6,$1.11,37.47
2018-03-31,42.2,$1.21,34.88
2017-12-31,37.71,$0.48,78.57
2017-09-30,29.18,$0.69,42.29
2017-06-30,38.63,$0.81,47.7
2017-03-31,36.24,$0.92,39.39
2016-12-31,41.65,$0.90,46.28
2016-09-30,55.83,$0.82,68.09
2016-06-30,40.14,$0.67,59.91
2016-03-31,32.19,$0.62,51.92
2015-12-31,28.34,$0.54,52.49
2015-09-30,26.5,$0.54,49.08
2015-06-30,51.4,$0.58,88.61
2015-03-31,60.19,$0.57,105.59
2014-12-31,60.56,$0.62,97.68
2014-09-30,62.56,$0.65,96.25
2014-06-30,72.73,$0.68,106.95
2014-03-31,63.64,$0.74,86.0
2013-12-31,73.3,$0.76,96.45
2013-09-30,63.74,$1.42,44.88
