Frontline PE Ratio Historical Data,Frontline PE Ratio Historical Data,Frontline PE Ratio Historical Data,Frontline PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,22.02,,8.28
2024-06-30,25.07,$2.66,9.42
2024-03-31,22.18,$2.86,7.75
2023-12-31,18.73,$2.95,6.35
2023-09-30,17.27,$3.50,4.93
2023-06-30,12.72,$3.71,3.43
2023-03-31,13.87,$2.90,4.78
2022-12-31,9.54,$2.15,4.44
2022-09-30,8.59,$1.17,7.34
2022-06-30,6.88,$0.31,22.19
2022-03-31,6.83,$-0.05,0.0
2021-12-31,5.49,$-0.05,0.0
2021-09-30,7.28,$-0.20,0.0
2021-06-30,6.99,$0.26,26.88
2021-03-31,5.55,$1.40,3.97
2020-12-31,4.83,$2.09,2.31
2020-09-30,5.05,$2.69,1.88
2020-06-30,5.07,$2.34,2.17
2020-03-31,6.42,$1.34,4.79
2019-12-31,8.23,$0.74,11.12
2019-09-30,5.77,$0.34,16.98
2019-06-30,5.08,$0.41,12.38
2019-03-31,4.1,$0.27,15.18
2018-12-31,3.51,$-0.05,0.0
2018-09-30,3.69,$-1.66,0.0
2018-06-30,3.71,$-1.81,0.0
2018-03-31,2.81,$-1.79,0.0
2017-12-31,2.91,$-1.59,0.0
2017-09-30,3.83,$-0.10,0.0
2017-06-30,3.64,$0.13,27.96
2016-12-31,4.29,$0.74,5.8
2016-09-30,4.28,$0.62,6.9
2016-06-30,4.57,$1.04,4.39
2016-03-31,4.67,$1.50,3.11
2015-12-31,8.05,$1.16,6.94
2015-09-30,7.13,$0.56,12.72
2015-06-30,6.46,$-2.89,0.0
2017-03-31,4.16,$-7.49,0.0
2014-12-31,6.65,$-8.30,0.0
2014-09-30,3.34,$-8.45,0.0
2014-06-30,7.74,$-4.20,0.0
2014-03-31,10.41,$-2.45,0.0
2013-12-31,9.91,$-9.50,0.0
2015-03-31,5.93,$-9.95,0.0
2013-09-30,7.02,$-12.25,0.0
2013-06-30,4.69,$-13.10,0.0
2013-03-31,6.2,$-6.95,0.0
2012-12-31,8.64,$-5.30,0.0
2012-09-30,10.17,$-26.30,0.0
2012-06-30,12.08,$-33.80,0.0
2012-03-31,20.37,$-34.50,0.0
2011-12-31,11.36,$-33.95,0.0
2011-09-30,12.85,$-12.65,0.0
2011-06-30,38.93,$-1.20,0.0
2011-03-31,65.04,$6.25,10.41
2010-12-31,66.37,$10.35,6.41
2010-09-30,73.67,$11.35,6.49
2010-06-30,71.93,$10.20,7.05
2010-03-31,75.57,$6.80,11.11
2009-12-31,66.81,$6.60,10.12
