Dime Community Bancshares PE Ratio Historical Data,Dime Community Bancshares PE Ratio Historical Data,Dime Community Bancshares PE Ratio Historical Data,Dime Community Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,31.45,,17.47
2024-06-30,20.04,$1.80,11.13
2023-12-31,25.82,$2.29,11.28
2023-09-30,18.9,$2.91,6.5
2023-06-30,16.48,$2.98,5.53
2023-03-31,20.98,$3.30,6.36
2022-12-31,29.18,$3.32,8.79
2024-03-31,18.66,$3.15,5.92
2022-09-30,26.64,$3.57,7.46
2022-06-30,26.76,$3.48,7.69
2022-03-31,30.99,$3.73,8.31
2021-12-31,31.32,$2.25,13.92
2021-09-30,28.89,$1.87,15.45
2021-06-30,29.51,$1.64,17.99
2021-03-31,26.27,$0.99,26.54
2020-12-31,20.89,$2.12,9.85
2020-09-30,14.88,$2.38,6.25
2020-06-30,19.25,$2.42,7.95
2020-03-31,17.6,$2.41,7.3
2019-12-31,27.69,$2.59,10.69
2019-09-30,24.22,$2.58,9.39
2019-06-30,23.94,$2.21,10.83
2019-03-31,23.64,$2.02,11.7
2018-12-31,20.4,$1.98,10.3
2018-09-30,26.37,$0.93,28.36
2018-06-30,28.38,$1.08,26.28
2018-03-31,26.29,$1.19,22.1
2017-12-31,27.26,$1.05,25.96
2017-09-30,26.27,$1.90,13.82
2017-06-30,25.59,$1.92,13.33
2017-03-31,26.71,$1.97,13.56
2016-12-31,28.73,$1.99,14.44
2016-09-30,21.5,$1.95,11.02
2016-06-30,21.19,$1.90,11.15
2016-03-31,22.56,$1.44,15.67
2015-12-31,22.35,$1.36,16.43
2015-09-30,19.45,$1.26,15.44
2015-06-30,19.27,$1.23,15.67
2015-03-31,18.49,$1.56,11.85
2014-12-31,18.98,$1.19,15.95
2014-09-30,16.62,$1.15,14.45
2014-06-30,16.7,$1.07,15.61
2014-03-31,18.42,$1.06,17.38
2013-12-31,17.77,$1.37,12.97
2013-09-30,14.55,$1.44,10.1
2013-06-30,15.08,$1.49,10.12
2013-03-31,14.26,$1.49,9.57
2012-12-31,13.49,$1.49,9.05
2012-09-30,15.13,$1.52,9.95
2012-06-30,15.16,$1.55,9.78
2012-03-31,13.33,$1.57,8.49
2011-12-31,12.51,$1.56,8.02
2011-09-30,11.37,$1.52,7.48
2011-06-30,13.08,$1.48,8.84
2011-03-31,13.61,$1.46,9.32
2010-12-31,15.0,$1.46,10.27
2010-09-30,14.93,$1.44,10.37
2010-06-30,14.37,$1.44,9.98
2010-03-31,13.72,$1.41,9.73
2009-12-31,14.09,$1.43,9.85
