Dun & Bradstreet Holdings PE Ratio Historical Data,Dun & Bradstreet Holdings PE Ratio Historical Data,Dun & Bradstreet Holdings PE Ratio Historical Data,Dun & Bradstreet Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.46,,0.0
2024-06-30,9.26,$-0.07,0.0
2023-12-31,11.7,$-0.11,0.0
2023-09-30,9.99,$-0.06,0.0
2023-06-30,11.57,$-0.12,0.0
2023-03-31,11.74,$-0.06,0.0
2022-12-31,12.26,$0.02,613.0
2024-03-31,10.04,$-0.10,0.0
2022-09-30,12.39,$-0.08,0.0
2022-06-30,14.98,$-0.06,0.0
2022-03-31,17.46,$-0.18,0.0
2021-12-31,20.42,$-0.17,0.0
2021-09-30,16.75,$-0.12,0.0
2021-06-30,21.3,$-0.20,0.0
