NorthWestern PE Ratio Historical Data,NorthWestern PE Ratio Historical Data,NorthWestern PE Ratio Historical Data,NorthWestern PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,56.46,,16.46
2024-06-30,50.08,$3.43,14.6
2024-03-31,50.93,$3.23,15.77
2023-12-31,50.89,$3.22,15.8
2023-09-30,48.06,$3.01,15.97
2023-06-30,56.06,$3.00,18.69
2023-03-31,56.53,$3.22,17.55
2022-12-31,57.32,$3.25,17.64
2022-09-30,47.09,$3.05,15.44
2022-06-30,55.67,$3.26,17.08
2022-03-31,56.5,$3.44,16.42
2021-12-31,52.83,$3.60,14.67
2021-09-30,52.37,$3.70,14.15
2021-06-30,54.49,$3.60,15.14
2021-03-31,58.43,$3.31,17.65
2020-12-31,51.75,$3.25,15.92
2020-09-30,42.71,$2.61,16.36
2020-06-30,47.3,$2.97,15.93
2019-12-31,60.93,$3.98,15.31
2019-09-30,63.28,$4.11,15.4
2019-06-30,60.36,$4.69,12.87
2019-03-31,58.44,$4.31,13.56
2018-12-31,48.93,$3.74,13.08
2020-03-31,51.36,$3.61,14.23
2018-09-30,47.88,$3.59,13.34
2018-06-30,46.31,$3.78,12.25
2018-03-31,43.08,$3.35,12.86
2017-12-31,47.29,$3.34,14.16
2017-09-30,44.72,$3.31,13.51
2017-06-30,47.5,$3.48,13.65
2017-03-31,45.32,$3.77,12.02
2016-12-31,43.5,$3.39,12.83
2016-09-30,43.63,$3.36,12.98
2016-06-30,47.41,$2.95,16.07
2016-03-31,46.04,$2.87,16.04
2015-12-31,40.11,$3.17,12.65
2015-09-30,39.44,$3.10,12.72
2015-06-30,35.38,$3.36,10.53
2015-03-31,38.67,$2.91,13.29
2014-12-31,40.3,$2.99,13.48
2014-09-30,32.07,$2.82,11.37
2014-06-30,36.59,$2.45,14.94
2014-03-31,32.98,$2.62,12.59
2013-12-31,29.86,$3.02,9.89
2013-09-30,30.68,$2.24,13.7
2013-06-30,27.0,$2.15,12.56
2012-12-31,23.06,$2.66,8.67
2012-09-30,23.8,$2.02,11.78
2012-06-30,23.86,$3.13,7.62
2012-03-31,22.82,$3.23,7.07
2011-12-31,22.8,$2.65,8.6
2013-03-31,26.73,$2.61,10.24
2011-09-30,20.13,$2.23,9.03
2011-06-30,20.64,$2.22,9.3
2011-03-31,18.67,$2.24,8.34
2010-12-31,17.55,$2.14,8.2
2010-09-30,17.15,$2.21,7.76
2010-06-30,15.58,$2.33,6.68
2010-03-31,15.73,$2.18,7.22
2009-12-31,15.07,$2.02,7.46
