Yelp PE Ratio Historical Data,Yelp PE Ratio Historical Data,Yelp PE Ratio Historical Data,Yelp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,34.84,,18.34
2024-06-30,36.95,$1.90,19.45
2024-03-31,39.4,$1.57,25.1
2023-12-31,47.34,$1.35,35.07
2023-09-30,41.59,$1.26,33.01
2023-06-30,36.41,$0.60,60.68
2023-03-31,30.7,$0.50,61.4
2022-12-31,27.34,$0.51,53.61
2022-09-30,33.91,$0.53,63.98
2022-06-30,27.77,$0.63,44.08
2022-03-31,34.11,$0.57,59.84
2021-12-31,36.24,$0.50,72.48
2021-09-30,37.24,$0.47,79.23
2021-06-30,39.96,$0.23,173.74
2021-03-31,39.0,$-0.15,0.0
2020-12-31,32.67,$-0.29,0.0
2020-09-30,20.09,$-0.32,0.0
2020-06-30,23.13,$-0.17,0.0
2020-03-31,18.03,$0.32,56.34
2019-12-31,34.83,$0.56,62.2
2019-09-30,34.75,$0.69,50.36
2019-06-30,34.18,$0.72,47.47
2019-03-31,34.5,$0.68,50.74
2018-12-31,34.99,$0.63,55.54
2018-09-30,49.2,$1.86,26.45
2018-06-30,39.18,$1.78,22.01
2018-03-31,41.75,$1.75,23.86
2017-12-31,41.96,$1.72,24.4
2017-09-30,43.3,$0.22,196.82
2017-06-30,30.02,$0.15,200.13
2017-03-31,32.75,$0.07,467.86
2016-12-31,38.13,$-0.07,0.0
2016-09-30,41.7,$-0.46,0.0
2016-06-30,30.36,$-0.59,0.0
2016-03-31,19.88,$-0.62,0.0
2015-12-31,28.8,$-0.44,0.0
2015-09-30,21.66,$0.27,80.22
2015-06-30,43.03,$0.43,100.07
2015-03-31,47.35,$0.49,96.63
2014-12-31,54.73,$0.47,116.45
2014-09-30,68.25,$0.02,3412.5
2014-06-30,76.68,$-0.07,0.0
2014-03-31,76.93,$-0.19,0.0
2013-12-31,68.95,$-0.23,0.0
2013-09-30,66.18,$-0.23,0.0
2013-03-31,23.71,$-0.22,0.0
2012-12-31,18.85,$-0.45,0.0
2012-09-30,27.05,$-0.38,0.0
