WAVE Life Sciences PE Ratio Historical Data,WAVE Life Sciences PE Ratio Historical Data,WAVE Life Sciences PE Ratio Historical Data,WAVE Life Sciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,14.61,,0.0
2024-06-30,4.99,$-0.57,0.0
2024-03-31,6.17,$-0.52,0.0
2023-12-31,5.05,$-0.55,0.0
2023-09-30,5.75,$-0.87,0.0
2023-06-30,3.64,$-1.36,0.0
2023-03-31,4.33,$-1.78,0.0
2022-12-31,7.0,$-2.13,0.0
2022-09-30,3.61,$-2.27,0.0
2022-06-30,3.25,$-1.97,0.0
2022-03-31,2.0,$-2.13,0.0
2021-12-31,3.14,$-2.37,0.0
2021-09-30,4.9,$-2.35,0.0
2021-06-30,6.66,$-3.09,0.0
2021-03-31,5.61,$-3.46,0.0
2020-12-31,7.87,$-3.98,0.0
2020-09-30,8.49,$-5.04,0.0
2020-06-30,10.41,$-5.66,0.0
2020-03-31,9.37,$-5.73,0.0
2019-12-31,8.02,$-5.71,0.0
2019-09-30,20.53,$-5.35,0.0
2019-06-30,26.09,$-5.15,0.0
2019-03-31,38.85,$-5.16,0.0
2018-12-31,42.04,$-5.06,0.0
2018-09-30,50.0,$-4.86,0.0
2018-06-30,38.25,$-4.52,0.0
2018-03-31,40.1,$-4.21,0.0
2017-12-31,35.1,$-3.84,0.0
2017-09-30,21.75,$-3.54,0.0
2017-06-30,18.6,$-3.35,0.0
2017-03-31,27.5,$-2.94,0.0
2016-12-31,26.15,$-2.41,0.0
2016-09-30,32.47,$-2.09,0.0
