Fulton Financial PE Ratio Historical Data,Fulton Financial PE Ratio Historical Data,Fulton Financial PE Ratio Historical Data,Fulton Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.43,,14.74
2024-09-30,17.95,$1.25,14.36
2024-06-30,16.65,$1.67,9.97
2024-03-31,15.58,$1.61,9.68
2023-12-31,15.97,$1.64,9.74
2023-09-30,11.63,$1.74,6.68
2023-06-30,11.29,$1.72,6.57
2023-03-31,12.92,$1.68,7.69
2022-12-31,15.57,$1.67,9.32
2022-09-30,14.44,$1.57,9.2
2022-06-30,13.08,$1.62,8.07
2022-03-31,14.89,$1.58,9.42
2021-12-31,15.09,$1.63,9.26
2021-09-30,13.39,$1.56,8.58
2021-06-30,13.7,$1.49,9.2
2021-03-31,14.66,$1.35,10.86
2020-12-31,10.86,$1.08,10.05
2020-09-30,7.75,$1.11,6.98
2020-06-30,8.75,$1.10,7.95
2020-03-31,9.43,$1.21,7.79
2019-12-31,14.14,$1.38,10.25
2019-09-30,13.0,$1.38,9.42
2019-06-30,13.05,$1.38,9.46
2019-03-31,12.24,$1.23,9.95
2018-12-31,12.14,$1.18,10.29
2018-09-30,13.03,$1.04,12.53
2018-06-30,12.82,$0.95,13.49
2018-03-31,13.69,$1.01,13.55
2017-12-31,13.71,$0.98,13.99
2017-09-30,14.25,$1.03,13.84
2017-06-30,14.36,$0.99,14.5
2017-03-31,13.41,$0.96,13.97
2016-12-31,14.04,$0.93,15.1
2016-09-30,10.77,$0.91,11.84
2016-06-30,9.95,$0.87,11.44
2016-03-31,9.79,$0.85,11.51
2015-12-31,9.45,$0.85,11.12
2015-09-30,8.72,$0.84,10.38
2015-06-30,9.34,$0.85,10.99
2015-03-31,8.77,$0.85,10.31
2014-12-31,8.72,$0.85,10.26
2014-09-30,7.75,$0.86,9.01
2014-06-30,8.61,$0.86,10.01
2014-03-31,8.68,$0.86,10.1
2013-12-31,8.97,$0.84,10.68
2013-09-30,7.96,$0.82,9.71
2013-06-30,7.77,$0.82,9.48
2013-03-31,7.87,$0.81,9.71
2012-12-31,6.42,$0.80,8.02
2012-09-30,6.52,$0.78,8.37
2012-06-30,6.56,$0.77,8.53
2012-03-31,6.85,$0.75,9.13
2011-12-31,6.36,$0.73,8.71
2011-09-30,4.93,$0.71,6.94
2011-06-30,6.86,$0.67,10.23
2011-03-31,7.08,$0.63,11.24
2010-12-31,6.56,$0.59,11.13
2010-09-30,5.74,$0.54,10.62
2010-06-30,6.09,$0.48,12.69
2010-03-31,6.42,$0.39,16.45
2009-12-31,5.47,$0.31,17.64
