Apogee Enterprises PE Ratio Historical Data,Apogee Enterprises PE Ratio Historical Data,Apogee Enterprises PE Ratio Historical Data,Apogee Enterprises PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,78.99,,16.63
2024-08-31,66.78,$4.75,14.06
2024-05-31,64.7,$4.87,13.28
2024-02-29,56.75,$4.51,12.58
2023-11-30,44.54,$4.71,9.46
2023-08-31,49.55,$4.55,10.89
2023-05-31,36.06,$4.03,8.95
2023-02-28,44.44,$2.31,19.24
2022-11-30,46.61,$1.84,25.33
2022-05-31,39.75,$0.69,57.61
2022-02-28,42.84,$0.11,389.46
2021-11-30,39.06,$-0.87,0.0
2021-08-31,40.45,$0.37,109.34
2021-05-31,35.59,$1.87,19.03
2021-02-28,34.83,$2.12,16.43
2022-08-31,39.25,$3.88,10.12
2020-11-30,24.3,$2.65,9.17
2020-08-31,19.25,$1.80,10.69
2020-05-31,18.83,$1.85,10.18
2020-02-29,27.23,$2.32,11.74
2019-11-30,34.28,$1.42,24.14
2019-08-31,32.95,$1.63,20.22
2019-05-31,32.21,$1.63,19.76
2019-02-28,31.58,$1.59,19.86
2018-11-30,32.09,$2.82,11.38
2018-08-31,43.15,$2.86,15.09
2018-05-31,38.15,$2.74,13.92
2018-02-28,37.56,$2.76,13.61
2017-11-30,43.41,$2.78,15.62
2017-08-31,37.81,$2.74,13.8
2017-05-31,45.98,$2.91,15.8
2017-02-28,49.21,$2.96,16.62
2016-11-30,40.95,$2.85,14.37
2016-08-31,41.42,$2.70,15.34
2016-05-31,38.6,$2.43,15.88
2016-02-29,33.98,$2.23,15.24
2015-11-30,42.6,$2.01,21.2
2015-08-31,44.15,$1.85,23.86
2015-05-31,45.39,$1.92,23.64
2015-02-28,38.65,$1.72,22.47
2014-11-30,38.04,$1.52,25.03
2014-08-31,30.63,$1.38,22.2
2014-05-31,25.18,$1.02,24.69
2014-02-28,28.54,$0.95,30.04
2013-11-30,29.77,$0.83,35.86
2013-08-31,23.12,$0.78,29.64
2013-05-31,22.03,$0.75,29.38
2013-02-28,21.23,$0.67,31.69
2012-11-30,18.8,$0.63,29.84
2012-08-31,12.9,$0.55,23.46
2012-05-31,12.0,$0.31,38.72
2012-02-29,10.72,$0.17,63.03
2011-11-30,8.51,$-0.10,0.0
2011-08-31,7.48,$-0.38,0.0
2011-05-31,10.48,$-0.32,0.0
2011-02-28,10.75,$-0.37,0.0
2010-11-30,8.82,$-0.19,0.0
2010-08-31,7.0,$0.28,24.99
2010-05-31,10.52,$0.75,14.03
2010-02-28,10.94,$1.15,9.52
2009-11-30,10.42,$1.53,6.81
