Banco De Chile PE Ratio Historical Data,Banco De Chile PE Ratio Historical Data,Banco De Chile PE Ratio Historical Data,Banco De Chile PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,24.26,,8.66
2024-06-30,22.63,$2.80,8.08
2024-03-31,22.27,$2.97,7.5
2023-12-31,21.38,$3.00,7.13
2023-09-30,18.71,$2.94,6.36
2023-06-30,19.41,$3.06,6.34
2023-03-31,18.08,$3.23,5.6
2022-12-31,17.3,$3.27,5.29
2022-09-30,14.68,$2.91,5.04
2022-06-30,15.15,$2.61,5.8
2022-03-31,17.8,$1.93,9.23
2021-09-30,14.42,$1.47,9.81
2021-03-31,18.42,$1.29,14.28
2020-12-31,15.46,$1.19,12.99
2020-09-30,11.47,$1.25,9.18
2020-06-30,13.39,$1.32,10.14
2020-03-31,12.22,$1.51,8.08
2019-09-30,20.21,$1.66,12.21
2019-03-31,21.18,$1.66,12.77
2018-03-31,22.97,$1.72,13.35
2017-06-30,16.81,$1.69,9.97
2017-03-31,15.57,$1.79,8.71
2016-12-31,14.66,$1.74,8.42
2016-09-30,14.0,$1.76,7.95
2016-06-30,13.05,$1.72,7.58
2016-03-31,13.12,$1.67,7.86
2015-12-31,11.54,$1.66,6.95
2015-09-30,12.2,$1.79,6.8
2015-06-30,12.43,$1.95,6.38
2015-03-31,12.74,$1.94,6.58
2014-09-30,13.39,$2.11,6.34
2014-06-30,14.5,$2.13,6.81
2014-03-31,13.63,$2.05,6.63
2013-12-31,15.12,$2.04,7.4
2013-09-30,15.79,$2.08,7.59
2013-06-30,15.0,$1.94,7.71
2013-03-31,16.01,$1.91,8.38
2012-12-31,15.53,$1.89,8.23
2012-09-30,13.42,$1.69,7.92
2012-06-30,13.6,$1.67,8.13
2012-03-31,14.99,$1.72,8.71
2011-12-31,12.42,$1.74,7.15
2011-09-30,10.61,$1.66,6.38
2011-06-30,13.12,$1.71,7.69
2011-03-31,12.52,$1.63,7.68
2010-12-31,12.59,$1.52,8.3
2010-09-30,12.8,$1.62,7.9
2010-06-30,8.51,$1.47,5.79
2010-03-31,8.24,$1.32,6.24
2014-12-31,12.48,$1.21,10.27
2009-12-31,7.2,$0.98,7.32
