Chemed PE Ratio Historical Data,Chemed PE Ratio Historical Data,Chemed PE Ratio Historical Data,Chemed PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,612.59,,31.06
2024-06-30,542.11,$19.72,27.49
2024-03-31,641.37,$18.58,34.52
2023-12-31,583.85,$17.92,32.58
2023-09-30,518.54,$16.15,32.11
2023-06-30,540.05,$15.00,36.0
2023-03-31,535.76,$15.89,33.72
2022-12-31,508.18,$16.53,30.74
2022-09-30,434.3,$17.21,25.24
2022-06-30,466.6,$17.98,25.95
2022-03-31,503.18,$17.09,29.44
2021-12-31,525.12,$16.88,31.11
2021-09-30,461.35,$19.03,24.24
2021-06-30,470.28,$18.62,25.26
2021-03-31,455.42,$20.12,22.64
2020-12-31,527.11,$20.07,26.26
2020-09-30,475.05,$16.67,28.5
2020-06-30,445.8,$15.61,28.56
2019-12-31,433.5,$13.30,32.59
2019-09-30,411.77,$12.60,32.68
2019-06-30,355.57,$12.42,28.63
2019-03-31,315.1,$12.40,25.41
2018-12-31,278.63,$12.97,21.48
2020-03-31,427.85,$12.37,34.59
2018-09-30,314.05,$12.24,25.66
2018-06-30,315.94,$11.31,27.93
2018-03-31,267.65,$6.69,40.01
2017-12-31,238.13,$5.81,40.99
2017-09-30,197.74,$4.50,43.94
2017-06-30,199.88,$3.99,50.09
2017-03-31,178.31,$6.82,26.14
2016-12-31,156.33,$6.49,24.09
2016-09-30,137.23,$6.27,21.89
2016-06-30,132.35,$6.30,21.01
2016-03-31,131.28,$6.37,20.61
2015-12-31,144.92,$6.32,22.93
2015-09-30,128.91,$6.31,20.43
2015-06-30,126.42,$6.05,20.9
2015-03-31,114.93,$5.86,19.61
2014-12-31,101.52,$5.58,18.19
2014-09-30,98.66,$5.15,19.16
2014-06-30,89.67,$4.70,19.08
2014-03-31,85.39,$4.11,20.78
2013-12-31,72.97,$4.39,16.62
2013-09-30,67.91,$4.18,16.25
2013-06-30,68.61,$4.34,15.81
2012-12-31,64.65,$4.63,13.96
2012-09-30,65.12,$4.54,14.34
2012-06-30,56.64,$4.64,12.21
2012-03-31,58.57,$4.58,12.79
2011-12-31,47.73,$4.46,10.7
2013-03-31,75.56,$3.99,18.94
2011-09-30,51.08,$3.80,13.44
2011-06-30,60.73,$3.67,16.55
2011-03-31,61.61,$3.55,17.35
2010-12-31,58.61,$3.55,16.51
2010-09-30,52.45,$3.35,15.66
2010-06-30,50.17,$3.28,15.3
2010-03-31,49.83,$3.22,15.48
2009-12-31,43.86,$3.23,13.58
