Empire State Realty Trust PE Ratio Historical Data,Empire State Realty Trust PE Ratio Historical Data,Empire State Realty Trust PE Ratio Historical Data,Empire State Realty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.43,,43.96
2024-06-30,9.35,$0.26,35.96
2024-03-31,10.06,$0.30,33.53
2023-12-31,9.59,$0.31,30.93
2023-09-30,7.93,$0.33,24.02
2023-06-30,7.35,$0.29,25.36
2023-03-31,6.34,$0.33,19.21
2022-12-31,6.55,$0.22,29.77
2022-09-30,6.34,$0.12,52.85
2022-06-30,6.76,$0.05,135.28
2022-03-31,9.4,$-0.12,0.0
2021-12-31,8.49,$-0.07,0.0
2021-09-30,9.53,$-0.05,0.0
2021-06-30,11.36,$-0.06,0.0
2021-03-31,10.51,$-0.14,0.0
2020-12-31,8.8,$-0.10,0.0
2020-09-30,5.78,$-0.01,0.0
2020-06-30,6.61,$0.13,50.82
2020-03-31,8.33,$0.24,34.71
2019-12-31,12.84,$0.25,51.38
2019-09-30,13.03,$0.29,44.93
2019-06-30,13.42,$0.30,44.75
2019-03-31,14.22,$0.36,39.51
2018-12-31,12.73,$0.39,32.63
2018-09-30,14.75,$0.37,39.88
2018-06-30,15.1,$0.39,38.71
2018-03-31,14.73,$0.39,37.77
2017-12-31,17.9,$0.39,45.91
2017-09-30,17.82,$0.39,45.69
2017-06-30,17.93,$0.39,45.97
2017-03-31,17.73,$0.38,46.66
2016-12-31,17.25,$0.39,44.24
2016-09-30,17.81,$0.38,46.87
2016-06-30,16.06,$0.36,44.62
2015-12-31,15.12,$0.30,50.41
2015-09-30,14.19,$0.27,52.54
2015-06-30,14.14,$0.23,61.47
2015-03-31,15.51,$0.22,70.52
2014-12-31,14.43,$0.29,49.76
2016-03-31,14.75,$0.30,49.16
2014-09-30,12.27,$0.24,51.12
