Moelis PE Ratio Historical Data,Moelis PE Ratio Historical Data,Moelis PE Ratio Historical Data,Moelis PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,71.9,,479.33
2024-06-30,56.29,$0.15,375.3
2024-03-31,55.56,$-0.19,0.0
2023-12-31,54.35,$-0.36,0.0
2023-09-30,43.08,0,0.0
2023-06-30,42.74,$0.53,80.65
2023-03-31,35.63,$1.26,28.28
2022-12-31,35.1,$2.15,16.32
2022-09-30,30.52,$3.28,9.3
2022-06-30,35.05,$4.67,7.5
2022-03-31,41.24,$5.28,7.81
2021-12-31,54.24,$5.34,10.16
2021-09-30,51.54,$5.90,8.74
2021-06-30,46.92,$4.68,10.03
2021-03-31,43.21,$3.41,12.67
2020-12-31,36.45,$2.85,12.79
2020-09-30,25.92,$1.26,20.57
2020-06-30,22.8,$1.45,15.72
2020-03-31,20.38,$2.09,9.75
2019-12-31,22.37,$1.90,11.78
2019-09-30,22.7,$2.24,10.14
2019-06-30,23.81,$2.12,11.23
2019-03-31,27.95,$2.30,12.15
2018-12-31,22.24,$2.80,7.94
2018-09-30,35.03,$1.36,25.76
2018-06-30,36.34,$1.23,29.54
2018-03-31,31.23,$1.08,28.91
2017-12-31,28.71,$0.79,36.34
2017-09-30,25.26,$2.09,12.09
2017-06-30,22.59,$2.00,11.3
2017-03-31,21.61,$1.72,12.56
2016-12-31,18.84,$1.57,12.0
2016-09-30,14.26,$1.49,9.57
2016-06-30,11.79,$1.57,7.51
2016-03-31,14.63,$1.62,9.03
2015-12-31,14.47,$1.56,9.28
2015-09-30,12.88,$1.58,8.15
2015-06-30,13.94,$1.51,9.23
2015-03-31,14.53,$-0.08,0.0
