Chimera Investment PE Ratio Historical Data,Chimera Investment PE Ratio Historical Data,Chimera Investment PE Ratio Historical Data,Chimera Investment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.19,,9.52
2024-06-30,12.51,$1.70,7.36
2024-03-31,12.83,$1.53,8.38
2023-12-31,13.89,$0.69,20.12
2023-09-30,14.87,$1.56,9.53
2023-06-30,15.21,$-0.87,0.0
2023-03-31,14.41,$-3.39,0.0
2022-12-31,13.48,$-7.47,0.0
2022-09-30,12.3,$-8.49,0.0
2022-06-30,19.91,$-1.95,0.0
2022-03-31,26.2,$2.13,12.3
2021-12-31,31.95,$7.32,4.36
2021-09-30,30.79,$8.79,3.5
2021-06-30,30.55,$8.85,3.45
2021-03-31,25.21,$5.94,4.24
2020-12-31,19.88,$-1.92,0.0
2020-09-30,15.45,$-1.59,0.0
2020-06-30,17.49,$-4.14,0.0
2020-03-31,16.09,$-2.40,0.0
2019-12-31,34.69,$5.46,6.35
2019-09-30,32.22,$1.77,18.2
2019-06-30,30.31,$2.73,11.1
2019-03-31,29.32,$3.84,7.64
2018-12-31,27.16,$5.88,4.62
2018-09-30,26.9,$9.33,2.88
2018-06-30,26.39,$9.03,2.92
2018-03-31,24.47,$8.97,2.73
2017-12-31,25.25,$7.83,3.22
2017-09-30,25.18,$9.78,2.57
2017-06-30,24.15,$10.47,2.31
2017-03-31,25.49,$9.96,2.56
2016-12-31,20.98,$8.76,2.39
2016-09-30,19.1,$7.08,2.7
2016-06-30,18.26,$3.60,5.07
2016-03-31,15.32,$4.14,3.7
2015-12-31,14.32,$3.81,3.76
2015-09-30,13.57,$2.13,6.37
2015-06-30,13.43,$8.40,1.6
2015-03-31,14.87,$8.19,1.82
2014-12-31,14.61,$8.70,1.68
2014-09-30,13.59,$9.60,1.42
2014-06-30,13.86,$5.10,2.72
2014-03-31,12.93,$5.70,2.27
2013-12-31,11.94,$4.20,2.84
2013-09-30,11.05,$3.15,3.51
2013-06-30,10.9,$2.10,5.19
2013-03-31,11.25,0,0.0
2012-12-31,8.96,0,0.0
2012-09-30,9.0,0,0.0
2012-06-30,7.58,$0.90,8.43
2012-03-31,8.77,$2.55,3.44
2011-12-31,7.49,$4.95,1.51
2011-09-30,7.93,$7.35,1.08
2011-06-30,9.48,$8.55,1.11
2011-03-31,10.45,$9.75,1.07
2010-12-31,10.48,$9.45,1.11
2010-09-30,9.67,$10.65,0.91
2010-03-31,8.73,$10.05,0.87
2009-12-31,8.35,$8.85,0.94
2009-09-30,7.88,$9.15,0.86
