Melco Resorts & Entertainment PE Ratio Historical Data,Melco Resorts & Entertainment PE Ratio Historical Data,Melco Resorts & Entertainment PE Ratio Historical Data,Melco Resorts & Entertainment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,7.04,,0.0
2024-06-30,7.46,$-0.32,0.0
2024-03-31,7.21,$-0.42,0.0
2023-12-31,8.87,$-0.63,0.0
2023-09-30,9.89,$-0.84,0.0
2023-06-30,12.21,$-1.33,0.0
2023-03-31,12.73,$-1.81,0.0
2022-12-31,11.5,$-2.02,0.0
2022-09-30,6.63,$-1.79,0.0
2022-06-30,5.75,$-1.75,0.0
2022-03-31,7.64,$-1.61,0.0
2021-12-31,10.18,$-1.71,0.0
2021-09-30,10.24,$-1.79,0.0
2021-06-30,16.57,$-2.00,0.0
2021-03-31,19.91,$-2.38,0.0
2020-12-31,18.55,$-2.65,0.0
2020-09-30,16.65,$-2.09,0.0
2020-06-30,15.52,$-1.22,0.0
2020-03-31,12.4,$-0.23,0.0
2019-12-31,23.94,$0.78,30.69
2019-09-30,18.94,$0.91,20.82
2019-06-30,21.03,$0.76,27.68
2019-03-31,21.71,$0.66,32.9
2018-12-31,16.82,$0.73,23.04
2018-09-30,20.02,$0.62,32.29
2018-06-30,26.34,$0.83,31.74
2018-03-31,27.15,$0.78,34.81
2017-12-31,27.08,$0.69,39.24
2017-09-30,22.41,$0.62,36.14
2017-06-30,20.76,$0.52,39.93
2017-03-31,17.08,$0.51,33.49
2016-12-31,13.49,$0.35,38.55
2016-09-30,13.64,$0.24,56.83
2016-06-30,10.64,$0.17,62.57
2016-03-31,13.94,$0.15,92.93
2015-12-31,13.63,$0.19,71.76
2015-09-30,11.15,$0.38,29.35
2015-06-30,15.9,$0.56,28.4
2015-03-31,17.36,$0.78,22.25
2014-12-31,20.5,$1.10,18.64
2014-09-30,21.16,$1.33,15.91
2014-06-30,28.66,$1.41,20.33
2014-03-31,30.63,$1.48,20.7
2013-12-31,31.08,$1.15,27.03
2013-09-30,25.23,$0.95,26.56
2013-06-30,17.72,$0.82,21.61
2013-03-31,18.51,$0.64,28.92
2012-12-31,13.35,$0.76,17.56
2012-09-30,10.68,$0.76,14.06
2012-06-30,9.13,$0.78,11.71
2012-03-31,10.81,$0.76,14.22
2011-12-31,7.62,$0.55,13.86
2011-09-30,6.59,$0.38,17.33
2011-06-30,10.12,$0.20,50.61
2011-03-31,6.02,$0.01,602.36
2010-12-31,5.04,$-0.02,0.0
2010-09-30,4.02,$-0.22,0.0
2010-06-30,2.96,$-0.33,0.0
2010-03-31,3.8,$-0.57,0.0
2009-12-31,2.66,$-0.63,0.0
