AutoZone PE Ratio Historical Data,AutoZone PE Ratio Historical Data,AutoZone PE Ratio Historical Data,AutoZone PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,3181.48,,22.0
2024-05-31,2769.94,$144.59,19.16
2024-02-29,3006.02,$142.02,21.17
2023-11-30,2609.93,$137.77,18.94
2023-08-31,2531.33,$132.67,19.08
2023-05-31,2386.84,$126.72,18.84
2023-02-28,2486.54,$121.63,20.44
2022-11-30,2579.0,$119.29,21.62
2022-08-31,2119.21,$117.53,18.03
2022-05-31,2059.65,$112.74,18.27
2022-02-28,1863.39,$110.19,16.91
2021-11-30,1817.07,$102.82,17.67
2021-08-31,1549.15,$95.74,16.18
2021-05-31,1406.6,$90.95,15.47
2021-02-28,1159.92,$78.86,14.71
2020-11-30,1137.65,$76.32,14.91
2020-08-31,1196.31,$72.01,16.61
2020-05-31,1147.86,$63.67,18.03
2020-02-29,1032.51,$65.27,15.82
2019-11-30,1177.92,$64.37,18.3
2019-08-31,1101.69,$63.54,17.34
2019-05-31,1027.11,$55.97,18.35
2019-02-28,938.97,$53.40,17.58
2018-11-30,809.07,$52.29,15.47
2018-08-31,766.88,$48.82,15.71
2018-05-31,649.32,$49.07,13.23
2018-02-28,664.72,$47.09,14.12
2017-11-30,686.76,$46.07,14.91
2017-08-31,528.44,$50.37,10.49
2017-05-31,605.92,$45.87,13.21
2016-11-30,783.18,$41.86,18.71
2016-08-31,741.8,$40.79,18.19
2016-05-31,762.2,$39.24,19.42
2016-02-29,774.57,$36.55,21.19
2015-11-30,783.77,$38.69,20.26
2015-08-31,715.99,$36.91,19.4
2017-02-28,736.55,$31.43,23.43
2015-05-31,673.62,$34.63,19.45
2015-02-28,642.68,$33.52,19.17
2014-11-30,577.71,$32.64,17.7
2014-08-31,538.84,$31.66,17.02
2014-05-31,532.5,$30.80,17.29
2014-02-28,538.44,$29.61,18.18
2013-11-30,461.6,$28.76,16.05
2013-08-31,419.94,$27.88,15.06
2013-05-31,408.83,$25.92,15.77
2013-02-28,380.15,$24.93,15.25
2012-11-30,383.77,$24.30,15.79
2012-08-31,361.64,$23.57,15.34
2012-05-31,380.26,$22.29,17.06
2012-02-29,374.48,$21.30,17.58
2011-11-30,328.38,$20.49,16.03
2011-08-31,307.0,$19.58,15.68
2011-05-31,294.0,$18.06,16.28
2011-02-28,257.95,$16.89,15.27
2010-11-30,259.41,$16.01,16.2
2010-08-31,209.78,$15.06,13.93
2010-05-31,190.88,$13.83,13.8
2010-02-28,165.93,$12.84,12.92
2009-11-30,147.87,$12.41,11.92
