Alexandria Real Estate Equities PE Ratio Historical Data,Alexandria Real Estate Equities PE Ratio Historical Data,Alexandria Real Estate Equities PE Ratio Historical Data,Alexandria Real Estate Equities PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,119.57,,147.62
2024-06-30,116.97,$0.81,144.41
2024-03-31,127.49,$1.07,119.15
2023-12-31,124.14,$0.54,229.89
2023-09-30,97.07,$1.39,69.83
2023-06-30,108.7,$3.37,32.25
2023-03-31,118.98,$4.53,26.27
2022-12-31,136.67,$3.13,43.67
2022-09-30,130.44,$3.29,39.65
2022-06-30,133.81,$1.85,72.33
2022-03-31,184.17,$2.79,66.01
2021-12-31,202.89,$3.79,53.53
2021-09-30,172.98,$6.58,26.29
2021-06-30,163.76,$6.54,25.04
2021-03-31,146.98,$5.75,25.56
2020-12-31,158.4,$5.85,27.08
2020-09-30,141.32,$4.33,32.64
2020-06-30,142.37,$3.26,43.67
2020-03-31,119.48,$2.12,56.36
2019-12-31,139.86,$3.09,45.26
2019-09-30,132.48,$1.05,126.17
2019-06-30,120.55,$3.47,34.74
2019-03-31,120.95,$3.30,36.65
2018-12-31,97.11,$3.51,27.67
2018-09-30,105.11,$4.19,25.09
2018-06-30,104.63,$2.76,37.91
2018-03-31,102.81,$2.60,39.54
2017-12-31,106.73,$1.57,67.98
2017-09-30,96.57,$0.88,109.73
2017-06-30,97.07,$0.40,242.68
2017-03-31,88.42,$-1.67,0.0
2016-12-31,88.25,$-2.01,0.0
2016-09-30,85.72,$-1.21,0.0
2016-06-30,81.0,$-0.82,0.0
2016-03-31,70.56,$1.34,52.65
2015-12-31,69.53,$1.64,42.4
2015-09-30,64.61,$0.92,70.23
2015-06-30,66.15,$0.85,77.82
2015-03-31,73.51,$0.80,91.89
2014-12-31,66.04,$1.01,65.38
2014-09-30,54.43,$1.75,31.1
2014-06-30,56.75,$1.71,33.19
2014-03-31,52.54,$1.70,30.91
2013-12-31,45.62,$1.60,28.51
2013-09-30,45.3,$1.42,31.9
2013-06-30,46.15,$1.24,37.21
2013-03-31,49.34,$1.15,42.9
2012-12-31,47.78,$1.09,43.84
2012-09-30,50.27,$1.20,41.89
2012-06-30,49.36,$1.43,34.52
2012-03-31,49.28,$1.58,31.19
2011-12-31,46.16,$1.72,26.84
2011-09-30,40.8,$2.80,14.57
2011-06-30,51.05,$2.85,17.91
2011-03-31,51.12,$1.96,26.08
2010-12-31,47.75,$1.99,23.99
2010-09-30,45.34,$0.96,47.23
2010-06-30,40.84,$0.98,41.68
2010-03-31,43.33,$2.25,19.26
2009-12-31,41.0,$2.79,14.69
