NextDecade PE Ratio Historical Data,NextDecade PE Ratio Historical Data,NextDecade PE Ratio Historical Data,NextDecade PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,5.45,,0.0
2024-06-30,7.94,$-0.17,0.0
2024-03-31,5.68,$-0.88,0.0
2023-12-31,4.77,$-1.22,0.0
2023-09-30,5.12,$-0.77,0.0
2023-06-30,8.21,$-1.44,0.0
2023-03-31,4.97,$-0.73,0.0
2022-12-31,4.94,$-0.64,0.0
2022-09-30,6.02,$-0.57,0.0
2022-06-30,4.44,$-0.41,0.0
2022-03-31,6.62,$-0.41,0.0
2021-12-31,2.85,$-0.33,0.0
2021-09-30,2.78,$-0.27,0.0
2021-06-30,4.13,$-0.33,0.0
2021-03-31,2.67,$-0.28,0.0
2020-12-31,2.09,$-0.24,0.0
2020-09-30,2.98,$-0.19,0.0
2020-06-30,2.16,$-0.16,0.0
2020-03-31,1.88,$-0.15,0.0
2019-12-31,6.14,$-0.29,0.0
2019-09-30,5.76,$-0.41,0.0
2019-06-30,6.32,$-0.45,0.0
2019-03-31,5.52,$-0.41,0.0
2018-12-31,5.4,$-0.40,0.0
2018-09-30,5.65,$-0.44,0.0
2018-06-30,6.84,$-0.48,0.0
2018-03-31,4.94,$-0.47,0.0
2017-12-31,8.32,$-0.34,0.0
2017-09-30,10.09,$-0.18,0.0
2017-06-30,10.33,$-0.04,0.0
2017-03-31,10.21,$-0.02,0.0
2016-12-31,10.12,0,0.0
2016-09-30,10.05,0,0.0
2016-06-30,10.03,0,0.0
2015-12-31,9.82,0,0.0
