Deere PE Ratio Historical Data,Deere PE Ratio Historical Data,Deere PE Ratio Historical Data,Deere PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,385.74,,13.16
2024-07-31,371.98,$29.31,12.69
2024-04-30,389.88,$33.22,11.74
2024-01-31,390.63,$34.34,11.38
2023-10-31,361.3,$34.66,10.42
2023-07-31,423.33,$33.84,12.51
2023-04-30,371.35,$29.80,12.46
2023-01-31,414.1,$23.07,17.95
2022-10-31,386.55,$20.64,18.73
2022-07-31,334.04,$18.52,18.04
2022-01-31,364.08,$18.04,20.18
2021-10-31,330.1,$18.99,17.38
2021-07-31,347.65,$17.26,20.14
2021-04-30,355.63,$18.75,18.97
2021-01-31,276.28,$15.64,17.67
2020-10-31,215.5,$13.88,15.53
2022-04-30,366.12,$13.12,27.91
2020-07-31,167.61,$8.58,19.54
2020-04-30,137.22,$8.82,15.56
2020-01-31,149.21,$10.23,14.59
2019-10-31,163.14,$10.14,16.09
2019-07-31,154.48,$10.29,15.01
2019-04-30,153.75,$10.26,14.99
2019-01-31,151.51,$10.41,14.55
2018-10-31,124.47,$7.21,17.26
2018-07-31,132.46,$6.36,20.83
2018-04-30,123.2,$5.55,22.2
2018-01-31,150.9,$4.37,34.53
2017-10-31,120.03,$6.64,18.08
2017-07-31,115.32,$5.97,19.32
2017-04-30,99.85,$5.55,17.99
2017-01-31,95.24,$4.62,20.61
2016-10-31,78.11,$4.81,16.24
2016-07-31,68.25,$4.99,13.68
2016-04-30,73.33,$4.97,14.75
2016-01-31,66.65,$5.44,12.25
2015-10-31,66.98,$6.47,10.35
2015-07-31,80.56,$7.72,10.44
2015-04-30,76.63,$8.84,8.67
2014-10-31,71.45,$8.62,8.29
2014-07-31,70.58,$8.90,7.93
2014-04-30,76.89,$7.69,10.0
2014-01-31,70.4,$7.60,9.26
2013-10-31,66.65,$8.55,7.8
2015-01-31,71.63,$8.09,8.85
2013-07-31,67.24,$8.72,7.71
2013-04-30,71.84,$8.14,8.83
2013-01-31,75.23,$7.99,9.42
2012-10-31,67.97,$7.64,8.9
2012-07-31,60.77,$7.51,8.09
2012-04-30,64.77,$7.22,8.97
2012-01-31,67.37,$6.73,10.01
2011-10-31,59.04,$6.63,8.9
2011-07-31,60.7,$6.08,9.98
2011-04-30,75.0,$5.83,12.87
2011-01-31,69.67,$4.99,13.96
2010-10-31,58.61,$4.36,13.44
2010-07-31,50.68,$2.76,18.36
2010-04-30,45.23,$2.31,19.58
2010-01-31,37.6,$2.14,17.57
2009-10-31,34.11,$2.05,16.64
