Avadel Pharmaceuticals PE Ratio Historical Data,Avadel Pharmaceuticals PE Ratio Historical Data,Avadel Pharmaceuticals PE Ratio Historical Data,Avadel Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,13.92,,0.0
2024-06-30,14.06,$-1.17,0.0
2024-03-31,16.89,$-1.86,0.0
2023-12-31,14.12,$-2.04,0.0
2023-09-30,10.3,$-2.16,0.0
2023-06-30,16.48,$-2.08,0.0
2023-03-31,9.16,$-2.32,0.0
2022-12-31,7.16,$-2.29,0.0
2022-09-30,5.01,$-2.23,0.0
2022-06-30,2.44,$-2.28,0.0
2022-03-31,6.83,$-1.54,0.0
2021-12-31,8.08,$-1.32,0.0
2021-09-30,9.8,$-1.13,0.0
2021-06-30,6.73,$-0.95,0.0
2021-03-31,9.04,$-0.13,0.0
2020-12-31,6.68,$0.08,83.5
2020-09-30,5.04,$0.20,25.2
2020-06-30,8.08,$0.16,50.5
2020-03-31,7.94,$-0.56,0.0
2019-12-31,7.55,$-0.89,0.0
2019-09-30,4.16,$-2.54,0.0
2019-06-30,2.89,$-2.73,0.0
2019-03-31,1.44,$-2.59,0.0
2018-12-31,2.58,$-2.56,0.0
2018-09-30,4.39,$-1.08,0.0
2018-06-30,6.13,$-0.13,0.0
2018-03-31,7.29,$0.64,11.39
2017-12-31,8.2,$1.55,5.29
2017-09-30,10.5,$1.90,5.53
2017-06-30,11.03,$0.84,13.13
2017-03-31,9.68,$-0.32,0.0
2016-12-31,10.39,$-1.06,0.0
2016-09-30,12.4,$0.58,21.38
2016-06-30,10.74,$0.39,27.54
2016-03-31,11.04,$0.44,25.09
2015-12-31,12.21,$0.86,14.2
2015-09-30,16.31,$-1.58,0.0
2015-06-30,21.19,$-1.11,0.0
2015-03-31,17.98,$-1.23,0.0
2014-12-31,17.13,$-2.44,0.0
2014-09-30,14.31,$-1.55,0.0
2014-06-30,15.0,$-1.54,0.0
2014-03-31,13.4,$-2.28,0.0
2013-12-31,8.05,$-1.69,0.0
2013-09-30,6.56,$-1.53,0.0
2013-06-30,6.14,$-1.54,0.0
2013-03-31,4.3,$-0.30,0.0
2012-12-31,3.03,$-0.14,0.0
2012-09-30,4.09,$-0.58,0.0
2012-06-30,4.4,$-0.25,0.0
2012-03-31,5.13,$-0.34,0.0
2011-12-31,5.21,$-0.35,0.0
2011-09-30,4.17,$-0.16,0.0
2011-06-30,5.35,$-0.37,0.0
2011-03-31,6.01,$-0.41,0.0
2010-12-31,6.84,$-0.38,0.0
2010-09-30,7.24,$-0.72,0.0
2010-06-30,6.96,$-0.72,0.0
2010-03-31,8.57,$-0.69,0.0
2009-12-31,7.4,$-0.47,0.0
