Northern Trust PE Ratio Historical Data,Northern Trust PE Ratio Historical Data,Northern Trust PE Ratio Historical Data,Northern Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,91.21,,12.48
2024-06-30,83.98,$7.31,11.49
2024-03-31,88.12,$4.53,19.45
2023-12-31,82.86,$5.08,16.31
2023-09-30,67.59,$5.27,12.83
2023-06-30,71.42,$5.58,12.8
2023-03-31,84.05,$5.88,14.29
2022-12-31,83.67,$6.14,13.63
2022-09-30,80.21,$7.34,10.93
2022-06-30,89.76,$7.34,12.23
2022-03-31,107.64,$7.20,14.95
2021-12-31,109.83,$7.13,15.4
2021-09-30,98.41,$6.34,15.52
2021-06-30,104.9,$5.86,17.9
2021-03-31,94.8,$5.60,16.93
2020-12-31,83.43,$5.45,15.31
2020-09-30,69.31,$6.03,11.49
2020-06-30,69.91,$6.40,10.92
2020-03-31,65.93,$6.69,9.85
2019-12-31,91.8,$6.62,13.87
2019-09-30,80.13,$6.72,11.92
2019-06-30,76.72,$6.61,11.61
2019-03-31,76.55,$6.54,11.7
2018-12-31,70.3,$6.64,10.59
2018-09-30,85.36,$6.35,13.44
2018-06-30,85.54,$5.97,14.33
2018-03-31,85.4,$5.41,15.79
2017-12-31,82.4,$4.92,16.75
2017-09-30,75.51,$4.52,16.7
2017-06-30,79.46,$4.40,18.06
2017-03-31,70.47,$4.37,16.13
2016-12-31,72.17,$4.29,16.82
2016-09-30,54.85,$4.17,13.15
2016-06-30,53.17,$4.05,13.13
2016-03-31,52.04,$4.06,12.82
2015-12-31,57.24,$3.99,14.35
2015-09-30,53.85,$3.98,13.53
2015-06-30,60.1,$3.86,15.57
2015-03-31,54.49,$3.51,15.52
2014-12-31,52.48,$3.32,15.81
2014-09-30,52.71,$3.04,17.34
2014-06-30,49.52,$3.04,16.29
2014-03-31,50.29,$3.07,16.38
2013-12-31,47.24,$2.99,15.8
2013-09-30,41.28,$2.98,13.85
2013-06-30,43.71,$2.87,15.23
2013-03-31,40.97,$2.82,14.53
2012-12-31,37.46,$2.81,13.33
2012-09-30,34.44,$2.65,13.0
2012-06-30,33.93,$2.63,12.9
2012-03-31,34.74,$2.52,13.79
2011-12-31,28.85,$2.47,11.68
2011-09-30,25.27,$2.58,9.8
2011-06-30,32.96,$2.51,13.13
2011-03-31,36.17,$2.71,13.35
2010-12-31,39.28,$2.74,14.34
2010-09-30,34.02,$2.92,11.65
2010-06-30,32.74,$3.05,10.73
2010-03-31,38.52,$3.18,12.11
2009-12-31,36.34,$3.15,11.54
