Agilysys PE Ratio Historical Data,Agilysys PE Ratio Historical Data,Agilysys PE Ratio Historical Data,Agilysys PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,124.62,,39.44
2024-03-31,84.26,$3.16,26.66
2023-12-31,84.82,$3.19,26.59
2023-09-30,66.16,$0.47,140.77
2023-06-30,68.64,$0.43,159.63
2023-03-31,82.51,$0.49,168.39
2022-12-31,79.14,$0.41,193.02
2022-09-30,55.35,$0.32,172.97
2022-06-30,47.27,$0.70,67.53
2022-03-31,39.88,$0.62,64.32
2021-12-31,44.46,$0.62,71.71
2024-06-30,104.14,$-0.47,0.0
2021-09-30,52.36,$-1.08,0.0
2021-06-30,56.87,$-0.88,0.0
2021-03-31,47.96,$-2.10,0.0
2020-12-31,38.38,$-1.16,0.0
2020-09-30,24.16,$-1.18,0.0
2020-03-31,16.7,$-1.47,0.0
2019-12-31,25.41,$-0.47,0.0
2019-09-30,25.61,$-0.43,0.0
2019-06-30,21.47,$-0.48,0.0
2019-03-31,21.17,$-0.57,0.0
2020-06-30,17.94,$-0.49,0.0
2018-12-31,14.34,$-0.43,0.0
2018-09-30,16.3,$-0.33,0.0
2018-06-30,15.5,$-0.40,0.0
2018-03-31,11.92,$-0.40,0.0
2017-12-31,12.28,$-0.50,0.0
2017-03-31,9.45,$-0.52,0.0
2016-12-31,10.36,$-0.36,0.0
2016-09-30,11.12,$-0.42,0.0
2016-06-30,10.47,$-0.38,0.0
2016-03-31,10.21,$-0.30,0.0
2017-09-30,11.95,$-0.24,0.0
2015-12-31,9.99,$-0.34,0.0
2015-09-30,11.12,$-0.39,0.0
2015-06-30,9.18,$-0.42,0.0
2015-03-31,9.84,$-0.51,0.0
2014-12-31,12.59,$-0.45,0.0
2014-09-30,11.73,$-0.45,0.0
2014-06-30,14.08,$0.52,27.08
2014-03-31,13.4,$0.68,19.71
2013-12-31,13.92,$0.87,16.0
2013-09-30,11.92,$1.01,11.8
2013-06-30,11.29,$0.07,161.29
2013-03-31,9.94,$-0.06,0.0
2012-12-31,8.37,$-0.85,0.0
2012-09-30,8.6,$-1.16,0.0
2012-06-30,8.67,$-0.82,0.0
2012-03-31,8.99,$-0.96,0.0
2011-12-31,7.95,$-2.15,0.0
2011-09-30,7.13,$-1.99,0.0
2011-06-30,8.34,$-2.23,0.0
2011-03-31,5.74,$-2.12,0.0
2017-06-30,10.12,$-0.60,0.0
2010-12-31,5.63,$-0.49,0.0
2010-09-30,6.5,$0.07,92.86
2010-06-30,6.69,$0.29,23.07
2010-03-31,11.17,$0.19,58.79
2009-12-31,9.11,$-4.82,0.0
