First BanCorp PE Ratio Historical Data,First BanCorp PE Ratio Historical Data,First BanCorp PE Ratio Historical Data,First BanCorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,21.45,,11.79
2024-06-30,18.15,$1.82,9.97
2024-03-31,17.41,$1.75,9.95
2023-12-31,16.17,$1.70,9.51
2023-09-30,13.11,$1.64,7.99
2023-06-30,11.78,$1.58,7.46
2023-03-31,10.88,$1.57,6.93
2022-12-31,12.0,$1.59,7.55
2022-09-30,12.8,$1.54,8.31
2022-06-30,11.99,$1.50,7.99
2022-03-31,12.08,$1.45,8.33
2021-12-31,12.59,$1.32,9.54
2021-09-30,11.94,$1.20,9.95
2021-06-30,10.76,$0.97,11.09
2021-03-31,10.11,$0.73,13.85
2020-12-31,8.22,$0.46,17.87
2020-09-30,4.63,$0.39,11.86
2020-06-30,4.91,$0.47,10.45
2020-03-31,4.64,$0.57,8.13
2019-12-31,9.17,$0.76,12.07
2019-09-30,8.6,$1.06,8.12
2019-06-30,9.49,$1.01,9.39
2019-03-31,9.82,$0.96,10.23
2018-12-31,7.35,$0.91,8.08
2018-09-30,7.78,$0.56,13.89
2018-06-30,6.54,$0.35,18.68
2018-03-31,5.14,$0.34,15.13
2017-12-31,4.36,$0.30,14.53
2017-09-30,4.38,$0.30,14.58
2017-06-30,4.95,$0.46,10.76
2017-03-31,4.83,$0.43,11.23
2016-12-31,5.65,$0.43,13.14
2016-09-30,4.44,$0.39,11.39
2016-06-30,3.39,$0.35,9.69
2016-03-31,2.5,$0.09,27.72
2015-12-31,2.78,$0.10,27.77
2015-09-30,3.04,$1.59,1.91
2015-06-30,4.12,$1.63,2.53
2015-03-31,5.3,$1.90,2.79
2014-12-31,5.02,$1.86,2.7
2014-09-30,4.06,$0.37,10.97
2014-06-30,4.65,$0.34,13.67
2014-03-31,4.65,$-0.37,0.0
2013-12-31,5.29,$-0.80,0.0
2013-09-30,4.85,$-0.80,0.0
2013-06-30,6.05,$-0.79,0.0
2013-03-31,5.32,$-0.14,0.0
2012-12-31,3.91,$0.15,26.09
2012-09-30,3.78,$1.43,2.64
2012-06-30,3.38,$-0.12,0.0
2012-03-31,3.76,$-1.21,0.0
2011-12-31,2.98,$-2.81,0.0
2011-09-30,2.39,$-127.59,0.0
2011-06-30,3.68,$-121.95,0.0
2011-03-31,4.27,$-136.58,0.0
2010-12-31,5.9,$-153.13,0.0
2010-09-30,3.59,$-39.25,0.0
2010-06-30,6.79,$-71.64,0.0
2010-03-31,30.89,$-71.41,0.0
2009-12-31,29.48,$-52.15,0.0
