Nasdaq PE Ratio Historical Data,Nasdaq PE Ratio Historical Data,Nasdaq PE Ratio Historical Data,Nasdaq PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,72.08,,41.43
2024-06-30,60.26,$1.74,34.63
2024-03-31,62.84,$1.90,33.08
2023-12-31,57.69,$2.11,27.34
2023-09-30,48.02,$2.23,21.53
2023-06-30,49.05,$2.22,22.1
2023-03-31,53.57,$2.30,23.33
2022-12-31,59.89,$2.25,26.58
2022-09-30,55.17,$2.28,24.16
2022-06-30,49.33,$2.26,21.86
2022-03-31,57.41,$2.32,24.71
2021-12-31,67.43,$2.35,28.7
2021-09-30,61.81,$2.29,27.03
2021-06-30,56.14,$2.25,24.95
2021-03-31,46.94,$2.05,22.9
2020-12-31,42.11,$1.86,22.6
2020-09-30,38.78,$1.82,21.31
2020-06-30,37.61,$1.59,23.6
2020-03-31,29.76,$1.46,20.43
2019-12-31,33.39,$0.96,34.78
2019-09-30,30.84,$0.88,35.04
2019-06-30,29.71,$0.90,32.89
2018-12-31,24.94,$0.91,27.51
2018-09-30,26.11,$1.48,17.64
2018-06-30,27.64,$1.49,18.51
2018-03-31,25.99,$1.46,17.8
2017-12-31,23.05,$1.44,16.01
2017-09-30,23.16,$0.51,45.71
2017-06-30,21.24,$0.43,49.77
2017-03-31,20.52,$0.28,74.17
2016-12-31,19.74,$0.24,82.27
2016-09-30,19.78,$0.96,20.67
2016-06-30,18.85,$0.96,19.7
2015-12-31,16.81,$0.83,20.17
2015-09-30,15.34,$0.71,21.7
2015-06-30,13.97,$0.68,20.64
2015-03-31,14.51,$0.62,23.52
2014-12-31,13.62,$0.80,17.09
2014-09-30,12.01,$0.90,13.34
2014-06-30,10.89,$0.88,12.33
2014-03-31,10.38,$0.86,12.07
2013-12-31,11.14,$1.16,9.63
2013-09-30,8.96,$0.97,9.24
2013-06-30,9.11,$0.92,9.94
2019-03-31,26.89,$0.92,29.34
2013-03-31,8.94,$0.60,14.9
2012-12-31,6.89,$0.68,10.18
2012-09-30,6.38,$0.66,9.67
2012-06-30,6.18,$0.69,8.96
2012-03-31,7.02,$0.68,10.27
2011-12-31,6.64,$0.71,9.31
2011-09-30,6.27,$0.79,7.9
2011-06-30,6.86,$0.76,9.06
2011-03-31,7.0,$0.74,9.46
2010-12-31,6.43,$0.64,10.0
2010-09-30,5.27,$0.48,10.97
2010-06-30,4.82,$0.41,11.85
2010-03-31,5.72,$0.36,15.75
2009-12-31,5.37,$0.53,10.13
2009-09-30,5.7,$0.61,9.35
