Gibraltar Industries PE Ratio Historical Data,Gibraltar Industries PE Ratio Historical Data,Gibraltar Industries PE Ratio Historical Data,Gibraltar Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,67.18,,18.71
2023-12-31,78.98,$3.59,22.0
2023-09-30,67.51,$3.07,21.99
2023-06-30,62.92,$2.87,21.92
2023-03-31,48.5,$2.77,17.51
2022-12-31,45.88,$2.56,17.92
2022-09-30,40.93,$2.73,14.99
2022-06-30,38.75,$2.48,15.63
2022-03-31,42.95,$2.37,18.12
2021-12-31,66.68,$2.29,29.12
2021-09-30,69.65,$1.75,39.8
2021-06-30,76.31,$1.94,39.34
2021-03-31,91.51,$1.98,46.22
2020-12-31,71.94,$1.96,36.7
2020-09-30,65.14,$2.66,24.49
2020-06-30,48.01,$2.39,20.09
2020-03-31,42.92,$2.17,19.78
2019-12-31,50.44,$1.99,25.35
2019-09-30,45.94,$1.95,23.56
2019-06-30,40.36,$1.80,22.42
2019-03-31,40.61,$1.89,21.49
2018-12-31,35.59,$1.96,18.16
2018-09-30,45.6,$2.34,19.49
2018-06-30,37.5,$2.38,15.76
2018-03-31,33.85,$2.08,16.27
2017-12-31,33.0,$2.87,11.5
2017-09-30,31.15,$2.21,14.1
2017-06-30,35.65,$1.33,26.8
2024-06-30,68.55,$1.36,50.4
2017-03-31,41.2,$0.84,49.05
2016-12-31,41.65,$0.92,45.27
2016-09-30,37.15,$1.17,31.75
2016-06-30,31.57,$1.17,26.98
2016-03-31,28.6,$0.77,37.14
2015-12-31,25.44,$0.75,33.92
2015-09-30,18.35,$-2.34,0.0
2015-06-30,20.37,$-1.96,0.0
2015-03-31,16.41,$-1.79,0.0
2014-12-31,16.26,$-1.76,0.0
2024-03-31,80.53,$1.25,64.42
2014-09-30,13.69,$0.57,24.02
2014-06-30,15.51,$-0.17,0.0
2014-03-31,18.87,$-0.13,0.0
2013-12-31,18.59,$-0.18,0.0
2013-09-30,14.26,$-0.44,0.0
2013-06-30,14.56,$0.24,60.67
2013-03-31,18.25,$0.25,73.0
2012-12-31,15.95,$0.41,38.9
2012-09-30,12.82,$0.32,40.06
2012-06-30,10.38,$0.31,33.48
2012-03-31,15.15,$0.30,50.5
2011-12-31,13.96,$0.53,26.34
2011-09-30,8.12,$-1.71,0.0
2011-06-30,11.32,$-1.90,0.0
2011-03-31,11.93,$-2.04,0.0
2010-12-31,13.57,$-3.01,0.0
2010-09-30,8.98,$-1.52,0.0
2010-06-30,10.1,$-1.40,0.0
2010-03-31,12.61,$-1.51,0.0
2009-12-31,15.73,$-1.73,0.0
