Bel Fuse PE Ratio Historical Data,Bel Fuse PE Ratio Historical Data,Bel Fuse PE Ratio Historical Data,Bel Fuse PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,104.9,,21.06
2024-06-30,80.81,$4.98,16.23
2024-03-31,70.66,$5.63,12.55
2023-12-31,64.44,$5.53,11.65
2023-09-30,46.78,$5.69,8.22
2023-06-30,57.69,$5.50,10.49
2023-03-31,36.07,$4.72,7.64
2022-12-31,31.9,$4.01,7.95
2022-09-30,27.63,$3.56,7.76
2022-06-30,21.2,$2.73,7.76
2022-03-31,20.65,$2.04,10.12
2021-12-31,14.69,$1.90,7.73
2021-09-30,14.14,$1.56,9.07
2021-06-30,13.78,$1.69,8.16
2021-03-31,18.03,$1.51,11.94
2020-12-31,12.8,$0.97,13.2
2020-09-30,11.23,$0.20,56.14
2020-06-30,9.54,$-0.88,0.0
2020-03-31,7.15,$-1.08,0.0
2019-12-31,15.25,$-0.70,0.0
2019-09-30,12.84,$0.11,116.69
2019-06-30,14.15,$1.51,9.37
2019-03-31,19.83,$1.80,11.01
2018-12-31,12.67,$1.61,7.87
2018-09-30,19.8,$-0.36,0.0
2018-06-30,19.14,$-0.85,0.0
2018-03-31,15.54,$-1.13,0.0
2017-12-31,19.87,$-0.75,0.0
2017-09-30,24.71,$1.69,14.62
2017-06-30,18.76,$3.12,6.01
2016-12-31,22.82,$-5.27,0.0
2016-09-30,18.12,$-5.35,0.0
2016-06-30,14.04,$-6.08,0.0
2016-03-31,12.17,$-7.52,0.0
2015-12-31,13.02,$1.12,11.62
2017-03-31,20.49,$1.38,14.85
2015-09-30,14.61,$1.49,9.8
2015-06-30,17.12,$1.22,14.03
2015-03-31,16.09,$0.98,16.42
2014-12-31,21.04,$0.73,28.83
2014-09-30,21.22,$1.18,17.98
2014-06-30,21.46,$1.71,12.55
2014-03-31,16.8,$1.66,10.12
2013-12-31,16.84,$1.41,11.95
2013-09-30,14.96,$0.59,25.35
2013-06-30,12.04,$0.14,86.0
2013-03-31,11.81,$0.05,236.3
2012-12-31,14.72,$0.17,86.58
2012-09-30,14.86,$0.38,39.1
2012-06-30,15.35,$0.26,59.03
2012-03-31,16.38,$0.10,163.84
2011-12-31,17.85,$0.29,61.56
2011-09-30,14.19,$0.20,70.93
2011-06-30,19.42,$0.98,19.82
2011-03-31,20.02,$1.41,14.2
2010-12-31,20.99,$1.15,18.25
2010-09-30,17.39,$1.47,11.83
2010-06-30,13.74,$-0.33,0.0
2010-03-31,15.29,$-0.82,0.0
2009-12-31,15.99,$-0.76,0.0
