SkyWest PE Ratio Historical Data,SkyWest PE Ratio Historical Data,SkyWest PE Ratio Historical Data,SkyWest PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,94.63,,22.32
2024-06-30,82.07,$4.24,19.36
2024-03-31,69.08,$2.77,24.94
2023-12-31,52.2,$0.87,60.0
2023-09-30,41.94,$-0.48,0.0
2023-06-30,40.72,$-0.07,0.0
2023-03-31,22.17,$0.65,34.11
2022-12-31,16.51,$1.45,11.39
2022-09-30,16.26,$2.47,6.58
2022-06-30,21.25,$1.70,12.5
2022-03-31,28.85,$1.85,15.59
2021-12-31,39.3,$2.21,17.78
2021-09-30,49.34,$1.19,41.46
2021-06-30,43.07,$1.66,25.95
2021-03-31,54.48,$-0.07,0.0
2020-12-31,40.31,$-0.19,0.0
2020-09-30,29.86,$2.17,13.76
2020-06-30,32.62,$3.30,9.88
2020-03-31,26.19,$5.52,4.74
2019-12-31,64.29,$6.62,9.71
2019-09-30,56.99,$6.47,8.81
2019-06-30,60.11,$6.25,9.62
2019-03-31,53.68,$5.97,8.99
2018-12-31,43.87,$5.31,8.26
2018-09-30,57.97,$9.49,6.11
2018-06-30,51.0,$8.93,5.71
2018-03-31,53.35,$8.45,6.31
2017-12-31,51.98,$8.07,6.44
2017-09-30,42.91,$-2.61,0.0
2017-06-30,34.25,$-2.83,0.0
2017-03-31,33.34,$-3.01,0.0
2016-12-31,35.4,$-3.14,0.0
2016-09-30,25.61,$2.86,8.96
2016-06-30,25.61,$2.78,9.21
2016-03-31,19.31,$2.62,7.37
2015-12-31,18.34,$2.28,8.04
2015-09-30,16.03,$0.96,16.7
2015-06-30,14.44,$1.04,13.88
2015-03-31,13.99,$0.14,99.92
2014-12-31,12.68,$-0.48,0.0
2014-09-30,7.41,$0.23,32.2
2014-06-30,11.58,$-0.06,0.0
2014-03-31,12.05,$0.62,19.43
2013-12-31,13.92,$1.12,12.43
2013-09-30,13.63,$1.22,11.17
2013-06-30,12.67,$1.12,11.32
2013-03-31,14.98,$1.06,14.13
2012-12-31,11.56,$0.99,11.68
2012-09-30,9.59,$0.37,25.91
2012-06-30,6.04,$-0.03,0.0
2012-03-31,10.16,$-0.33,0.0
2011-12-31,11.53,$-0.53,0.0
2011-09-30,10.51,$0.49,21.45
2011-06-30,13.7,$0.94,14.58
2011-03-31,15.35,$1.24,12.38
2010-12-31,14.14,$1.71,8.27
2010-09-30,12.61,$1.38,9.14
2010-06-30,11.0,$1.43,7.7
2010-03-31,12.82,$1.56,8.22
2009-12-31,15.15,$1.46,10.37
