Select Water Solutions PE Ratio Historical Data,Select Water Solutions PE Ratio Historical Data,Select Water Solutions PE Ratio Historical Data,Select Water Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.23,,19.36
2024-06-30,10.64,$0.58,18.35
2024-03-31,9.12,$0.65,14.03
2023-12-31,7.44,$0.73,10.19
2023-09-30,7.73,$0.53,14.58
2023-06-30,7.83,$0.61,12.83
2023-03-31,6.68,$0.54,12.37
2022-12-31,8.82,$0.49,18.0
2022-09-30,6.62,$0.52,12.72
2022-06-30,6.47,$0.16,40.46
2022-03-31,8.14,$-0.16,0.0
2021-12-31,5.91,$-0.50,0.0
2021-09-30,4.93,$-0.81,0.0
2021-06-30,5.73,$-1.03,0.0
2021-03-31,4.73,$-1.36,0.0
2020-12-31,3.89,$-3.95,0.0
2020-09-30,3.65,$-3.86,0.0
2020-06-30,4.65,$-3.43,0.0
2020-03-31,3.07,$-2.83,0.0
2019-12-31,8.81,$0.04,220.24
2019-09-30,8.22,$-0.01,0.0
2019-06-30,11.02,$0.21,52.48
2019-03-31,11.41,$0.37,30.84
2018-12-31,6.0,$0.51,11.76
2018-09-30,11.24,$0.50,22.48
2018-06-30,13.79,$0.25,55.17
2018-03-31,11.98,$-0.15,0.0
