SiteOne Landscape Supply PE Ratio Historical Data,SiteOne Landscape Supply PE Ratio Historical Data,SiteOne Landscape Supply PE Ratio Historical Data,SiteOne Landscape Supply PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,145.87,,43.28
2024-06-30,121.41,$3.37,36.03
2024-03-31,174.55,$3.45,50.59
2023-12-31,162.5,$3.78,42.99
2023-09-30,163.45,$3.84,42.57
2023-06-30,167.36,$4.19,39.94
2023-03-31,136.87,$4.55,30.08
2022-12-31,117.32,$5.35,21.93
2022-09-30,104.14,$5.97,17.44
2022-06-30,118.87,$6.11,19.45
2022-03-31,161.69,$5.74,28.17
2021-12-31,242.28,$5.20,46.59
2021-09-30,199.47,$4.85,41.13
2021-06-30,169.26,$4.19,40.4
2021-03-31,170.74,$3.32,51.43
2020-12-31,158.63,$2.74,57.89
2020-09-30,121.95,$2.55,47.82
2020-06-30,113.97,$2.28,49.99
2020-03-31,73.62,$1.97,37.37
2019-12-31,90.65,$1.80,50.36
2019-09-30,74.02,$1.69,43.8
2019-06-30,69.3,$1.58,43.86
2019-03-31,57.15,$1.54,37.11
2018-12-31,55.27,$1.70,32.51
2018-09-30,75.34,$1.84,40.95
2018-06-30,83.97,$1.55,54.17
2018-03-31,77.04,$1.14,67.58
2017-12-31,76.7,$1.31,58.55
2017-09-30,58.1,$1.08,53.8
2017-06-30,52.06,$1.03,50.54
2017-03-31,48.41,$-3.22,0.0
