Park National PE Ratio Historical Data,Park National PE Ratio Historical Data,Park National PE Ratio Historical Data,Park National PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,179.37,,21.4
2024-06-30,141.43,$8.38,16.88
2024-03-31,133.98,$7.90,16.96
2023-12-31,129.98,$7.80,16.66
2023-09-30,91.62,$8.31,11.03
2023-06-30,98.2,$8.60,11.42
2023-03-31,112.66,$8.76,12.86
2022-12-31,132.63,$9.07,14.62
2022-09-30,116.07,$9.28,12.51
2022-06-30,112.22,$8.87,12.65
2022-03-31,120.49,$9.15,13.17
2021-12-31,124.94,$9.38,13.32
2021-09-30,110.01,$9.90,11.11
2021-06-30,105.0,$9.62,10.91
2021-03-31,114.69,$9.04,12.69
2020-12-31,92.17,$7.79,11.83
2020-09-30,71.24,$6.49,10.98
2020-06-30,60.46,$6.50,9.3
2020-03-31,65.71,$6.03,10.9
2019-12-31,85.6,$6.29,13.61
2019-09-30,78.49,$6.51,12.06
2019-06-30,81.35,$6.18,13.16
2019-03-31,76.76,$6.68,11.49
2018-12-31,67.99,$7.08,9.6
2018-09-30,83.62,$6.89,12.14
2018-06-30,87.51,$6.77,12.93
2018-03-31,80.64,$6.18,13.05
2017-12-31,80.1,$5.47,14.64
2017-09-30,82.45,$5.29,15.59
2017-06-30,78.43,$5.63,13.93
2017-03-31,78.81,$5.69,13.85
2016-12-31,88.86,$5.59,15.9
2016-09-30,70.7,$5.65,12.51
2016-06-30,66.91,$5.17,12.94
2016-03-31,64.94,$5.24,12.39
2015-12-31,64.56,$5.26,12.27
2015-09-30,63.74,$5.48,11.63
2015-06-30,61.06,$5.37,11.37
2015-03-31,59.13,$5.42,10.91
2014-12-31,60.48,$5.46,11.08
2014-09-30,50.97,$5.01,10.17
2014-06-30,51.54,$5.05,10.21
2014-03-31,50.68,$4.93,10.28
2013-12-31,55.37,$5.00,11.07
2013-09-30,50.88,$4.93,10.32
2013-06-30,43.74,$4.48,9.76
2013-03-31,43.8,$4.28,10.23
2012-12-31,40.0,$4.89,8.18
2012-09-30,42.69,$4.59,9.3
2012-06-30,41.96,$4.90,8.56
2012-03-31,41.02,$5.02,8.17
2011-12-31,38.07,$4.36,8.73
2011-09-30,30.44,$4.33,7.03
2011-06-30,37.23,$4.43,8.4
2011-03-31,37.24,$4.51,8.26
2010-12-31,39.92,$4.52,8.83
2010-09-30,34.7,$4.53,7.66
2010-06-30,34.7,$4.59,7.56
2010-03-31,32.77,$4.71,6.96
2009-12-31,30.46,$4.84,6.29
